model,factor,mean,sd,median,min,max,n
anthropic/claude-sonnet-4.6,Extraversion,33.0,0.6666666666666666,33.0,32,34,10
anthropic/claude-sonnet-4.6,Agreeableness,41.0,0.0,41.0,41,41,10
anthropic/claude-sonnet-4.6,Conscientiousness,40.6,0.5163977794943222,41.0,40,41,10
anthropic/claude-sonnet-4.6,Emotional_Stability,33.7,0.4830458915396479,34.0,33,34,10
anthropic/claude-sonnet-4.6,Intellect_Openness,43.3,0.8232726023485646,43.5,42,44,10
google/gemini-3.1-pro-preview,Extraversion,32.4,2.7568097504180447,32.5,27,37,10
google/gemini-3.1-pro-preview,Agreeableness,49.4,0.6992058987801011,49.5,48,50,10
google/gemini-3.1-pro-preview,Conscientiousness,50.0,0.0,50.0,50,50,10
google/gemini-3.1-pro-preview,Emotional_Stability,49.8,0.4216370213557839,50.0,49,50,10
google/gemini-3.1-pro-preview,Intellect_Openness,49.2,0.4216370213557839,49.0,49,50,10
minimax/minimax-m2.7,Extraversion,29.2,1.3165611772087666,29.0,27,32,10
minimax/minimax-m2.7,Agreeableness,36.7,3.4334951418181574,36.0,33,44,10
minimax/minimax-m2.7,Conscientiousness,37.2,2.1499353995462798,36.5,34,40,10
minimax/minimax-m2.7,Emotional_Stability,47.2,1.6193277068654828,47.5,43,49,10
minimax/minimax-m2.7,Intellect_Openness,41.5,2.1213203435596424,42.0,38,44,10
moonshotai/kimi-k2.5,Extraversion,27.3,2.7100635498903793,27.0,23,32,10
moonshotai/kimi-k2.5,Agreeableness,40.7,1.6363916944844767,41.0,39,43,10
moonshotai/kimi-k2.5,Conscientiousness,42.8,2.1499353995462798,43.5,39,45,10
moonshotai/kimi-k2.5,Emotional_Stability,48.5,0.5270462766947299,48.5,48,49,10
moonshotai/kimi-k2.5,Intellect_Openness,43.0,1.247219128924647,43.0,41,45,10
openai/gpt-5.3-chat,Extraversion,28.2,1.8737959096740262,28.0,26,33,10
openai/gpt-5.3-chat,Agreeableness,45.3,0.6749485577105528,45.0,44,46,10
openai/gpt-5.3-chat,Conscientiousness,46.8,1.3984117975602022,47.5,45,48,10
openai/gpt-5.3-chat,Emotional_Stability,49.6,0.6992058987801011,50.0,48,50,10
openai/gpt-5.3-chat,Intellect_Openness,46.1,0.7378647873726218,46.0,45,47,10
qwen/qwen3.5-397b-a17b,Extraversion,27.2,2.394437999475729,27.0,24,32,10
qwen/qwen3.5-397b-a17b,Agreeableness,42.7,0.9486832980505138,43.0,41,44,10
qwen/qwen3.5-397b-a17b,Conscientiousness,45.3,0.9486832980505138,45.0,44,47,10
qwen/qwen3.5-397b-a17b,Emotional_Stability,48.6,0.5163977794943222,49.0,48,49,10
qwen/qwen3.5-397b-a17b,Intellect_Openness,44.3,0.9486832980505138,44.0,43,46,10
z-ai/glm-5,Extraversion,30.6,3.4058772731852804,31.0,25,35,10
z-ai/glm-5,Agreeableness,47.3,1.4944341180973264,48.0,45,49,10
z-ai/glm-5,Conscientiousness,46.1,2.0248456731316584,46.0,43,50,10
z-ai/glm-5,Emotional_Stability,47.8,1.4757295747452437,48.0,45,50,10
z-ai/glm-5,Intellect_Openness,46.7,0.8232726023485646,47.0,45,48,10
