model,item_number,repetition,raw_response,parsed_response,timestamp,temperature,status,error_message
minimax/minimax-m2.7,1,1,,,2026-03-30T21:44:46.083397+00:00,1.0,error,"HTTPSConnectionPool(host='openrouter.ai', port=443): Max retries exceeded with url: /api/v1/chat/completions (Caused by NameResolutionError(""HTTPSConnection(host='openrouter.ai', port=443): Failed to resolve 'openrouter.ai' ([Errno 8] nodename nor servname provided, or not known)""))"
minimax/minimax-m2.7,1,2,,,2026-03-30T21:44:46.599318+00:00,1.0,error,"HTTPSConnectionPool(host='openrouter.ai', port=443): Max retries exceeded with url: /api/v1/chat/completions (Caused by NameResolutionError(""HTTPSConnection(host='openrouter.ai', port=443): Failed to resolve 'openrouter.ai' ([Errno 8] nodename nor servname provided, or not known)""))"
minimax/minimax-m2.7,1,3,,,2026-03-30T21:44:47.115250+00:00,1.0,error,"HTTPSConnectionPool(host='openrouter.ai', port=443): Max retries exceeded with url: /api/v1/chat/completions (Caused by NameResolutionError(""HTTPSConnection(host='openrouter.ai', port=443): Failed to resolve 'openrouter.ai' ([Errno 8] nodename nor servname provided, or not known)""))"
minimax/minimax-m2.7,1,4,,,2026-03-30T21:44:47.631294+00:00,1.0,error,"HTTPSConnectionPool(host='openrouter.ai', port=443): Max retries exceeded with url: /api/v1/chat/completions (Caused by NameResolutionError(""HTTPSConnection(host='openrouter.ai', port=443): Failed to resolve 'openrouter.ai' ([Errno 8] nodename nor servname provided, or not known)""))"
minimax/minimax-m2.7,1,5,,,2026-03-30T21:44:48.138423+00:00,1.0,error,"HTTPSConnectionPool(host='openrouter.ai', port=443): Max retries exceeded with url: /api/v1/chat/completions (Caused by NameResolutionError(""HTTPSConnection(host='openrouter.ai', port=443): Failed to resolve 'openrouter.ai' ([Errno 8] nodename nor servname provided, or not known)""))"
minimax/minimax-m2.7,1,6,,,2026-03-30T21:44:48.648216+00:00,1.0,error,"HTTPSConnectionPool(host='openrouter.ai', port=443): Max retries exceeded with url: /api/v1/chat/completions (Caused by NameResolutionError(""HTTPSConnection(host='openrouter.ai', port=443): Failed to resolve 'openrouter.ai' ([Errno 8] nodename nor servname provided, or not known)""))"
minimax/minimax-m2.7,1,7,,,2026-03-30T21:44:49.160113+00:00,1.0,error,"HTTPSConnectionPool(host='openrouter.ai', port=443): Max retries exceeded with url: /api/v1/chat/completions (Caused by NameResolutionError(""HTTPSConnection(host='openrouter.ai', port=443): Failed to resolve 'openrouter.ai' ([Errno 8] nodename nor servname provided, or not known)""))"
minimax/minimax-m2.7,1,8,,,2026-03-30T21:44:49.672105+00:00,1.0,error,"HTTPSConnectionPool(host='openrouter.ai', port=443): Max retries exceeded with url: /api/v1/chat/completions (Caused by NameResolutionError(""HTTPSConnection(host='openrouter.ai', port=443): Failed to resolve 'openrouter.ai' ([Errno 8] nodename nor servname provided, or not known)""))"
minimax/minimax-m2.7,1,9,,,2026-03-30T21:44:50.179610+00:00,1.0,error,"HTTPSConnectionPool(host='openrouter.ai', port=443): Max retries exceeded with url: /api/v1/chat/completions (Caused by NameResolutionError(""HTTPSConnection(host='openrouter.ai', port=443): Failed to resolve 'openrouter.ai' ([Errno 8] nodename nor servname provided, or not known)""))"
minimax/minimax-m2.7,1,10,,,2026-03-30T21:44:50.694498+00:00,1.0,error,"HTTPSConnectionPool(host='openrouter.ai', port=443): Max retries exceeded with url: /api/v1/chat/completions (Caused by NameResolutionError(""HTTPSConnection(host='openrouter.ai', port=443): Failed to resolve 'openrouter.ai' ([Errno 8] nodename nor servname provided, or not known)""))"
minimax/minimax-m2.7,2,1,,,2026-03-30T21:44:51.208517+00:00,1.0,error,"HTTPSConnectionPool(host='openrouter.ai', port=443): Max retries exceeded with url: /api/v1/chat/completions (Caused by NameResolutionError(""HTTPSConnection(host='openrouter.ai', port=443): Failed to resolve 'openrouter.ai' ([Errno 8] nodename nor servname provided, or not known)""))"
