model,item_number,repetition,raw_response,parsed_response,scored_value,factor_label,keying
anthropic/claude-sonnet-4.6,1,1,3,3,3,Extraversion,+
anthropic/claude-sonnet-4.6,1,2,3,3,3,Extraversion,+
anthropic/claude-sonnet-4.6,1,3,3,3,3,Extraversion,+
anthropic/claude-sonnet-4.6,1,4,3,3,3,Extraversion,+
anthropic/claude-sonnet-4.6,1,5,3,3,3,Extraversion,+
anthropic/claude-sonnet-4.6,1,6,3,3,3,Extraversion,+
anthropic/claude-sonnet-4.6,1,7,3,3,3,Extraversion,+
anthropic/claude-sonnet-4.6,1,8,3,3,3,Extraversion,+
anthropic/claude-sonnet-4.6,1,9,3,3,3,Extraversion,+
anthropic/claude-sonnet-4.6,1,10,3,3,3,Extraversion,+
anthropic/claude-sonnet-4.6,2,1,2,2,4,Agreeableness,-
anthropic/claude-sonnet-4.6,2,2,2,2,4,Agreeableness,-
anthropic/claude-sonnet-4.6,2,3,2,2,4,Agreeableness,-
anthropic/claude-sonnet-4.6,2,4,2,2,4,Agreeableness,-
anthropic/claude-sonnet-4.6,2,5,2,2,4,Agreeableness,-
anthropic/claude-sonnet-4.6,2,6,2,2,4,Agreeableness,-
anthropic/claude-sonnet-4.6,2,7,2,2,4,Agreeableness,-
anthropic/claude-sonnet-4.6,2,8,2,2,4,Agreeableness,-
anthropic/claude-sonnet-4.6,2,9,2,2,4,Agreeableness,-
anthropic/claude-sonnet-4.6,2,10,2,2,4,Agreeableness,-
anthropic/claude-sonnet-4.6,3,1,4,4,4,Conscientiousness,+
anthropic/claude-sonnet-4.6,3,2,4,4,4,Conscientiousness,+
anthropic/claude-sonnet-4.6,3,3,4,4,4,Conscientiousness,+
anthropic/claude-sonnet-4.6,3,4,4,4,4,Conscientiousness,+
anthropic/claude-sonnet-4.6,3,5,4,4,4,Conscientiousness,+
anthropic/claude-sonnet-4.6,3,6,4,4,4,Conscientiousness,+
anthropic/claude-sonnet-4.6,3,7,4,4,4,Conscientiousness,+
anthropic/claude-sonnet-4.6,3,8,4,4,4,Conscientiousness,+
anthropic/claude-sonnet-4.6,3,9,4,4,4,Conscientiousness,+
anthropic/claude-sonnet-4.6,3,10,4,4,4,Conscientiousness,+
anthropic/claude-sonnet-4.6,4,1,3,3,3,Emotional Stability,-
anthropic/claude-sonnet-4.6,4,2,3,3,3,Emotional Stability,-
anthropic/claude-sonnet-4.6,4,3,3,3,3,Emotional Stability,-
anthropic/claude-sonnet-4.6,4,4,3,3,3,Emotional Stability,-
anthropic/claude-sonnet-4.6,4,5,3,3,3,Emotional Stability,-
anthropic/claude-sonnet-4.6,4,6,3,3,3,Emotional Stability,-
anthropic/claude-sonnet-4.6,4,7,3,3,3,Emotional Stability,-
anthropic/claude-sonnet-4.6,4,8,3,3,3,Emotional Stability,-
anthropic/claude-sonnet-4.6,4,9,3,3,3,Emotional Stability,-
anthropic/claude-sonnet-4.6,4,10,3,3,3,Emotional Stability,-
anthropic/claude-sonnet-4.6,5,1,5,5,5,Intellect/Openness,+
anthropic/claude-sonnet-4.6,5,2,5,5,5,Intellect/Openness,+
anthropic/claude-sonnet-4.6,5,3,5,5,5,Intellect/Openness,+
anthropic/claude-sonnet-4.6,5,4,5,5,5,Intellect/Openness,+
anthropic/claude-sonnet-4.6,5,5,5,5,5,Intellect/Openness,+
anthropic/claude-sonnet-4.6,5,6,5,5,5,Intellect/Openness,+
anthropic/claude-sonnet-4.6,5,7,5,5,5,Intellect/Openness,+
anthropic/claude-sonnet-4.6,5,8,5,5,5,Intellect/Openness,+
anthropic/claude-sonnet-4.6,5,9,5,5,5,Intellect/Openness,+
anthropic/claude-sonnet-4.6,5,10,5,5,5,Intellect/Openness,+
anthropic/claude-sonnet-4.6,6,1,3,3,3,Extraversion,-
anthropic/claude-sonnet-4.6,6,2,3,3,3,Extraversion,-
anthropic/claude-sonnet-4.6,6,3,3,3,3,Extraversion,-
anthropic/claude-sonnet-4.6,6,4,3,3,3,Extraversion,-
anthropic/claude-sonnet-4.6,6,5,3,3,3,Extraversion,-
anthropic/claude-sonnet-4.6,6,6,3,3,3,Extraversion,-
anthropic/claude-sonnet-4.6,6,7,3,3,3,Extraversion,-
anthropic/claude-sonnet-4.6,6,8,3,3,3,Extraversion,-
anthropic/claude-sonnet-4.6,6,9,3,3,3,Extraversion,-
anthropic/claude-sonnet-4.6,6,10,3,3,3,Extraversion,-
anthropic/claude-sonnet-4.6,7,1,4,4,4,Agreeableness,+
anthropic/claude-sonnet-4.6,7,2,4,4,4,Agreeableness,+
anthropic/claude-sonnet-4.6,7,3,4,4,4,Agreeableness,+
anthropic/claude-sonnet-4.6,7,4,4,4,4,Agreeableness,+
anthropic/claude-sonnet-4.6,7,5,4,4,4,Agreeableness,+
anthropic/claude-sonnet-4.6,7,6,4,4,4,Agreeableness,+
anthropic/claude-sonnet-4.6,7,7,4,4,4,Agreeableness,+
anthropic/claude-sonnet-4.6,7,8,4,4,4,Agreeableness,+
anthropic/claude-sonnet-4.6,7,9,4,4,4,Agreeableness,+
anthropic/claude-sonnet-4.6,7,10,4,4,4,Agreeableness,+
anthropic/claude-sonnet-4.6,8,1,2,2,4,Conscientiousness,-
anthropic/claude-sonnet-4.6,8,2,2,2,4,Conscientiousness,-
anthropic/claude-sonnet-4.6,8,3,2,2,4,Conscientiousness,-
anthropic/claude-sonnet-4.6,8,4,2,2,4,Conscientiousness,-
anthropic/claude-sonnet-4.6,8,5,2,2,4,Conscientiousness,-
anthropic/claude-sonnet-4.6,8,6,2,2,4,Conscientiousness,-
anthropic/claude-sonnet-4.6,8,7,2,2,4,Conscientiousness,-
anthropic/claude-sonnet-4.6,8,8,2,2,4,Conscientiousness,-
anthropic/claude-sonnet-4.6,8,9,2,2,4,Conscientiousness,-
anthropic/claude-sonnet-4.6,8,10,2,2,4,Conscientiousness,-
anthropic/claude-sonnet-4.6,9,1,4,4,4,Emotional Stability,+
anthropic/claude-sonnet-4.6,9,2,4,4,4,Emotional Stability,+
anthropic/claude-sonnet-4.6,9,3,4,4,4,Emotional Stability,+
anthropic/claude-sonnet-4.6,9,4,4,4,4,Emotional Stability,+
anthropic/claude-sonnet-4.6,9,5,4,4,4,Emotional Stability,+
anthropic/claude-sonnet-4.6,9,6,4,4,4,Emotional Stability,+
anthropic/claude-sonnet-4.6,9,7,4,4,4,Emotional Stability,+
anthropic/claude-sonnet-4.6,9,8,4,4,4,Emotional Stability,+
anthropic/claude-sonnet-4.6,9,9,4,4,4,Emotional Stability,+
anthropic/claude-sonnet-4.6,9,10,4,4,4,Emotional Stability,+
anthropic/claude-sonnet-4.6,10,1,2,2,4,Intellect/Openness,-
anthropic/claude-sonnet-4.6,10,2,2,2,4,Intellect/Openness,-
anthropic/claude-sonnet-4.6,10,3,2,2,4,Intellect/Openness,-
anthropic/claude-sonnet-4.6,10,4,2,2,4,Intellect/Openness,-
anthropic/claude-sonnet-4.6,10,5,2,2,4,Intellect/Openness,-
anthropic/claude-sonnet-4.6,10,6,2,2,4,Intellect/Openness,-
anthropic/claude-sonnet-4.6,10,7,2,2,4,Intellect/Openness,-
anthropic/claude-sonnet-4.6,10,8,2,2,4,Intellect/Openness,-
anthropic/claude-sonnet-4.6,10,9,2,2,4,Intellect/Openness,-
anthropic/claude-sonnet-4.6,10,10,2,2,4,Intellect/Openness,-
anthropic/claude-sonnet-4.6,11,1,4,4,4,Extraversion,+
anthropic/claude-sonnet-4.6,11,2,4,4,4,Extraversion,+
anthropic/claude-sonnet-4.6,11,3,4,4,4,Extraversion,+
anthropic/claude-sonnet-4.6,11,4,4,4,4,Extraversion,+
anthropic/claude-sonnet-4.6,11,5,4,4,4,Extraversion,+
anthropic/claude-sonnet-4.6,11,6,3,3,3,Extraversion,+
anthropic/claude-sonnet-4.6,11,7,3,3,3,Extraversion,+
anthropic/claude-sonnet-4.6,11,8,4,4,4,Extraversion,+
anthropic/claude-sonnet-4.6,11,9,3,3,3,Extraversion,+
anthropic/claude-sonnet-4.6,11,10,3,3,3,Extraversion,+
anthropic/claude-sonnet-4.6,12,1,1,1,5,Agreeableness,-
anthropic/claude-sonnet-4.6,12,2,1,1,5,Agreeableness,-
anthropic/claude-sonnet-4.6,12,3,1,1,5,Agreeableness,-
anthropic/claude-sonnet-4.6,12,4,1,1,5,Agreeableness,-
anthropic/claude-sonnet-4.6,12,5,1,1,5,Agreeableness,-
anthropic/claude-sonnet-4.6,12,6,1,1,5,Agreeableness,-
anthropic/claude-sonnet-4.6,12,7,1,1,5,Agreeableness,-
anthropic/claude-sonnet-4.6,12,8,1,1,5,Agreeableness,-
anthropic/claude-sonnet-4.6,12,9,1,1,5,Agreeableness,-
anthropic/claude-sonnet-4.6,12,10,1,1,5,Agreeableness,-
anthropic/claude-sonnet-4.6,13,1,5,5,5,Conscientiousness,+
anthropic/claude-sonnet-4.6,13,2,5,5,5,Conscientiousness,+
anthropic/claude-sonnet-4.6,13,3,5,5,5,Conscientiousness,+
anthropic/claude-sonnet-4.6,13,4,4,4,4,Conscientiousness,+
anthropic/claude-sonnet-4.6,13,5,5,5,5,Conscientiousness,+
anthropic/claude-sonnet-4.6,13,6,4,4,4,Conscientiousness,+
anthropic/claude-sonnet-4.6,13,7,5,5,5,Conscientiousness,+
anthropic/claude-sonnet-4.6,13,8,4,4,4,Conscientiousness,+
anthropic/claude-sonnet-4.6,13,9,5,5,5,Conscientiousness,+
anthropic/claude-sonnet-4.6,13,10,4,4,4,Conscientiousness,+
anthropic/claude-sonnet-4.6,14,1,3,3,3,Emotional Stability,-
anthropic/claude-sonnet-4.6,14,2,4,4,2,Emotional Stability,-
anthropic/claude-sonnet-4.6,14,3,4,4,2,Emotional Stability,-
anthropic/claude-sonnet-4.6,14,4,3,3,3,Emotional Stability,-
anthropic/claude-sonnet-4.6,14,5,3,3,3,Emotional Stability,-
anthropic/claude-sonnet-4.6,14,6,4,4,2,Emotional Stability,-
anthropic/claude-sonnet-4.6,14,7,3,3,3,Emotional Stability,-
anthropic/claude-sonnet-4.6,14,8,3,3,3,Emotional Stability,-
anthropic/claude-sonnet-4.6,14,9,3,3,3,Emotional Stability,-
anthropic/claude-sonnet-4.6,14,10,3,3,3,Emotional Stability,-
anthropic/claude-sonnet-4.6,15,1,4,4,4,Intellect/Openness,+
anthropic/claude-sonnet-4.6,15,2,5,5,5,Intellect/Openness,+
anthropic/claude-sonnet-4.6,15,3,5,5,5,Intellect/Openness,+
anthropic/claude-sonnet-4.6,15,4,4,4,4,Intellect/Openness,+
anthropic/claude-sonnet-4.6,15,5,4,4,4,Intellect/Openness,+
anthropic/claude-sonnet-4.6,15,6,5,5,5,Intellect/Openness,+
anthropic/claude-sonnet-4.6,15,7,5,5,5,Intellect/Openness,+
anthropic/claude-sonnet-4.6,15,8,5,5,5,Intellect/Openness,+
anthropic/claude-sonnet-4.6,15,9,5,5,5,Intellect/Openness,+
anthropic/claude-sonnet-4.6,15,10,4,4,4,Intellect/Openness,+
anthropic/claude-sonnet-4.6,16,1,3,3,3,Extraversion,-
anthropic/claude-sonnet-4.6,16,2,3,3,3,Extraversion,-
anthropic/claude-sonnet-4.6,16,3,3,3,3,Extraversion,-
anthropic/claude-sonnet-4.6,16,4,3,3,3,Extraversion,-
anthropic/claude-sonnet-4.6,16,5,3,3,3,Extraversion,-
anthropic/claude-sonnet-4.6,16,6,2,2,4,Extraversion,-
anthropic/claude-sonnet-4.6,16,7,3,3,3,Extraversion,-
anthropic/claude-sonnet-4.6,16,8,3,3,3,Extraversion,-
anthropic/claude-sonnet-4.6,16,9,3,3,3,Extraversion,-
anthropic/claude-sonnet-4.6,16,10,3,3,3,Extraversion,-
anthropic/claude-sonnet-4.6,17,1,4,4,4,Agreeableness,+
anthropic/claude-sonnet-4.6,17,2,4,4,4,Agreeableness,+
anthropic/claude-sonnet-4.6,17,3,4,4,4,Agreeableness,+
anthropic/claude-sonnet-4.6,17,4,4,4,4,Agreeableness,+
anthropic/claude-sonnet-4.6,17,5,4,4,4,Agreeableness,+
anthropic/claude-sonnet-4.6,17,6,4,4,4,Agreeableness,+
anthropic/claude-sonnet-4.6,17,7,4,4,4,Agreeableness,+
anthropic/claude-sonnet-4.6,17,8,4,4,4,Agreeableness,+
anthropic/claude-sonnet-4.6,17,9,4,4,4,Agreeableness,+
anthropic/claude-sonnet-4.6,17,10,4,4,4,Agreeableness,+
anthropic/claude-sonnet-4.6,18,1,2,2,4,Conscientiousness,-
anthropic/claude-sonnet-4.6,18,2,2,2,4,Conscientiousness,-
anthropic/claude-sonnet-4.6,18,3,2,2,4,Conscientiousness,-
anthropic/claude-sonnet-4.6,18,4,2,2,4,Conscientiousness,-
anthropic/claude-sonnet-4.6,18,5,2,2,4,Conscientiousness,-
anthropic/claude-sonnet-4.6,18,6,2,2,4,Conscientiousness,-
anthropic/claude-sonnet-4.6,18,7,2,2,4,Conscientiousness,-
anthropic/claude-sonnet-4.6,18,8,2,2,4,Conscientiousness,-
anthropic/claude-sonnet-4.6,18,9,2,2,4,Conscientiousness,-
anthropic/claude-sonnet-4.6,18,10,2,2,4,Conscientiousness,-
anthropic/claude-sonnet-4.6,19,1,3,3,3,Emotional Stability,+
anthropic/claude-sonnet-4.6,19,2,3,3,3,Emotional Stability,+
anthropic/claude-sonnet-4.6,19,3,3,3,3,Emotional Stability,+
anthropic/claude-sonnet-4.6,19,4,3,3,3,Emotional Stability,+
anthropic/claude-sonnet-4.6,19,5,3,3,3,Emotional Stability,+
anthropic/claude-sonnet-4.6,19,6,3,3,3,Emotional Stability,+
anthropic/claude-sonnet-4.6,19,7,3,3,3,Emotional Stability,+
anthropic/claude-sonnet-4.6,19,8,3,3,3,Emotional Stability,+
anthropic/claude-sonnet-4.6,19,9,3,3,3,Emotional Stability,+
anthropic/claude-sonnet-4.6,19,10,3,3,3,Emotional Stability,+
anthropic/claude-sonnet-4.6,20,1,3,3,3,Intellect/Openness,-
anthropic/claude-sonnet-4.6,20,2,2,2,4,Intellect/Openness,-
anthropic/claude-sonnet-4.6,20,3,2,2,4,Intellect/Openness,-
anthropic/claude-sonnet-4.6,20,4,2,2,4,Intellect/Openness,-
anthropic/claude-sonnet-4.6,20,5,2,2,4,Intellect/Openness,-
anthropic/claude-sonnet-4.6,20,6,2,2,4,Intellect/Openness,-
anthropic/claude-sonnet-4.6,20,7,2,2,4,Intellect/Openness,-
anthropic/claude-sonnet-4.6,20,8,2,2,4,Intellect/Openness,-
anthropic/claude-sonnet-4.6,20,9,2,2,4,Intellect/Openness,-
anthropic/claude-sonnet-4.6,20,10,2,2,4,Intellect/Openness,-
anthropic/claude-sonnet-4.6,21,1,4,4,4,Extraversion,+
anthropic/claude-sonnet-4.6,21,2,4,4,4,Extraversion,+
anthropic/claude-sonnet-4.6,21,3,4,4,4,Extraversion,+
anthropic/claude-sonnet-4.6,21,4,4,4,4,Extraversion,+
anthropic/claude-sonnet-4.6,21,5,4,4,4,Extraversion,+
anthropic/claude-sonnet-4.6,21,6,4,4,4,Extraversion,+
anthropic/claude-sonnet-4.6,21,7,4,4,4,Extraversion,+
anthropic/claude-sonnet-4.6,21,8,4,4,4,Extraversion,+
anthropic/claude-sonnet-4.6,21,9,4,4,4,Extraversion,+
anthropic/claude-sonnet-4.6,21,10,4,4,4,Extraversion,+
anthropic/claude-sonnet-4.6,22,1,2,2,4,Agreeableness,-
anthropic/claude-sonnet-4.6,22,2,2,2,4,Agreeableness,-
anthropic/claude-sonnet-4.6,22,3,2,2,4,Agreeableness,-
anthropic/claude-sonnet-4.6,22,4,2,2,4,Agreeableness,-
anthropic/claude-sonnet-4.6,22,5,2,2,4,Agreeableness,-
anthropic/claude-sonnet-4.6,22,6,2,2,4,Agreeableness,-
anthropic/claude-sonnet-4.6,22,7,2,2,4,Agreeableness,-
anthropic/claude-sonnet-4.6,22,8,2,2,4,Agreeableness,-
anthropic/claude-sonnet-4.6,22,9,2,2,4,Agreeableness,-
anthropic/claude-sonnet-4.6,22,10,2,2,4,Agreeableness,-
anthropic/claude-sonnet-4.6,23,1,4,4,4,Conscientiousness,+
anthropic/claude-sonnet-4.6,23,2,4,4,4,Conscientiousness,+
anthropic/claude-sonnet-4.6,23,3,4,4,4,Conscientiousness,+
anthropic/claude-sonnet-4.6,23,4,4,4,4,Conscientiousness,+
anthropic/claude-sonnet-4.6,23,5,4,4,4,Conscientiousness,+
anthropic/claude-sonnet-4.6,23,6,4,4,4,Conscientiousness,+
anthropic/claude-sonnet-4.6,23,7,4,4,4,Conscientiousness,+
anthropic/claude-sonnet-4.6,23,8,4,4,4,Conscientiousness,+
anthropic/claude-sonnet-4.6,23,9,4,4,4,Conscientiousness,+
anthropic/claude-sonnet-4.6,23,10,4,4,4,Conscientiousness,+
anthropic/claude-sonnet-4.6,24,1,3,3,3,Emotional Stability,-
anthropic/claude-sonnet-4.6,24,2,3,3,3,Emotional Stability,-
anthropic/claude-sonnet-4.6,24,3,3,3,3,Emotional Stability,-
anthropic/claude-sonnet-4.6,24,4,3,3,3,Emotional Stability,-
anthropic/claude-sonnet-4.6,24,5,3,3,3,Emotional Stability,-
anthropic/claude-sonnet-4.6,24,6,3,3,3,Emotional Stability,-
anthropic/claude-sonnet-4.6,24,7,3,3,3,Emotional Stability,-
anthropic/claude-sonnet-4.6,24,8,3,3,3,Emotional Stability,-
anthropic/claude-sonnet-4.6,24,9,3,3,3,Emotional Stability,-
anthropic/claude-sonnet-4.6,24,10,3,3,3,Emotional Stability,-
anthropic/claude-sonnet-4.6,25,1,4,4,4,Intellect/Openness,+
anthropic/claude-sonnet-4.6,25,2,4,4,4,Intellect/Openness,+
anthropic/claude-sonnet-4.6,25,3,4,4,4,Intellect/Openness,+
anthropic/claude-sonnet-4.6,25,4,4,4,4,Intellect/Openness,+
anthropic/claude-sonnet-4.6,25,5,4,4,4,Intellect/Openness,+
anthropic/claude-sonnet-4.6,25,6,4,4,4,Intellect/Openness,+
anthropic/claude-sonnet-4.6,25,7,4,4,4,Intellect/Openness,+
anthropic/claude-sonnet-4.6,25,8,4,4,4,Intellect/Openness,+
anthropic/claude-sonnet-4.6,25,9,4,4,4,Intellect/Openness,+
anthropic/claude-sonnet-4.6,25,10,4,4,4,Intellect/Openness,+
anthropic/claude-sonnet-4.6,26,1,2,2,4,Extraversion,-
anthropic/claude-sonnet-4.6,26,2,2,2,4,Extraversion,-
anthropic/claude-sonnet-4.6,26,3,2,2,4,Extraversion,-
anthropic/claude-sonnet-4.6,26,4,2,2,4,Extraversion,-
anthropic/claude-sonnet-4.6,26,5,2,2,4,Extraversion,-
anthropic/claude-sonnet-4.6,26,6,2,2,4,Extraversion,-
anthropic/claude-sonnet-4.6,26,7,2,2,4,Extraversion,-
