model,item_number,repetition,raw_response,parsed_response,scored_value,factor_label,keying
minimax/minimax-m2.7,1,1,1,1,1,Extraversion,+
minimax/minimax-m2.7,1,2,1,1,1,Extraversion,+
minimax/minimax-m2.7,1,3,1,1,1,Extraversion,+
minimax/minimax-m2.7,1,4,1,1,1,Extraversion,+
minimax/minimax-m2.7,1,5,2,2,2,Extraversion,+
minimax/minimax-m2.7,1,6,1,1,1,Extraversion,+
minimax/minimax-m2.7,1,7,3,3,3,Extraversion,+
minimax/minimax-m2.7,1,8,1,1,1,Extraversion,+
minimax/minimax-m2.7,1,9,1,1,1,Extraversion,+
minimax/minimax-m2.7,1,10,2,2,2,Extraversion,+
minimax/minimax-m2.7,2,1,1,1,5,Agreeableness,-
minimax/minimax-m2.7,2,2,1,1,5,Agreeableness,-
minimax/minimax-m2.7,2,3,4,4,2,Agreeableness,-
minimax/minimax-m2.7,2,4,1,1,5,Agreeableness,-
minimax/minimax-m2.7,2,5,2,2,4,Agreeableness,-
minimax/minimax-m2.7,2,6,1,1,5,Agreeableness,-
minimax/minimax-m2.7,2,7,1,1,5,Agreeableness,-
minimax/minimax-m2.7,2,8,1,1,5,Agreeableness,-
minimax/minimax-m2.7,2,9,5,5,1,Agreeableness,-
minimax/minimax-m2.7,2,10,4,4,2,Agreeableness,-
minimax/minimax-m2.7,3,1,3,3,3,Conscientiousness,+
minimax/minimax-m2.7,3,2,3,3,3,Conscientiousness,+
minimax/minimax-m2.7,3,3,2,2,2,Conscientiousness,+
minimax/minimax-m2.7,3,4,2,2,2,Conscientiousness,+
minimax/minimax-m2.7,3,5,3,3,3,Conscientiousness,+
minimax/minimax-m2.7,3,6,3,3,3,Conscientiousness,+
minimax/minimax-m2.7,3,7,1,1,1,Conscientiousness,+
minimax/minimax-m2.7,3,8,2,2,2,Conscientiousness,+
minimax/minimax-m2.7,3,9,1,1,1,Conscientiousness,+
minimax/minimax-m2.7,3,10,4,4,4,Conscientiousness,+
minimax/minimax-m2.7,4,1,1,1,5,Emotional Stability,-
minimax/minimax-m2.7,4,2,1,1,5,Emotional Stability,-
minimax/minimax-m2.7,4,3,1,1,5,Emotional Stability,-
minimax/minimax-m2.7,4,4,1,1,5,Emotional Stability,-
minimax/minimax-m2.7,4,5,1,1,5,Emotional Stability,-
minimax/minimax-m2.7,4,6,1,1,5,Emotional Stability,-
minimax/minimax-m2.7,4,7,1,1,5,Emotional Stability,-
minimax/minimax-m2.7,4,8,1,1,5,Emotional Stability,-
minimax/minimax-m2.7,4,9,1,1,5,Emotional Stability,-
minimax/minimax-m2.7,4,10,1,1,5,Emotional Stability,-
minimax/minimax-m2.7,5,1,4,4,4,Intellect/Openness,+
minimax/minimax-m2.7,5,2,4,4,4,Intellect/Openness,+
minimax/minimax-m2.7,5,3,5,5,5,Intellect/Openness,+
minimax/minimax-m2.7,5,4,5,5,5,Intellect/Openness,+
minimax/minimax-m2.7,5,5,5,5,5,Intellect/Openness,+
minimax/minimax-m2.7,5,6,5,5,5,Intellect/Openness,+
minimax/minimax-m2.7,5,7,5,5,5,Intellect/Openness,+
minimax/minimax-m2.7,5,8,5,5,5,Intellect/Openness,+
minimax/minimax-m2.7,5,9,5,5,5,Intellect/Openness,+
minimax/minimax-m2.7,5,10,5,5,5,Intellect/Openness,+
minimax/minimax-m2.7,6,1,3,3,3,Extraversion,-
minimax/minimax-m2.7,6,2,1,1,5,Extraversion,-
minimax/minimax-m2.7,6,3,4,4,2,Extraversion,-
minimax/minimax-m2.7,6,4,1,1,5,Extraversion,-
minimax/minimax-m2.7,6,5,3,3,3,Extraversion,-
minimax/minimax-m2.7,6,6,5,5,1,Extraversion,-
minimax/minimax-m2.7,6,7,1,1,5,Extraversion,-
minimax/minimax-m2.7,6,8,2,2,4,Extraversion,-
minimax/minimax-m2.7,6,9,4,4,2,Extraversion,-
minimax/minimax-m2.7,6,10,2,2,4,Extraversion,-
minimax/minimax-m2.7,7,1,4,4,4,Agreeableness,+
minimax/minimax-m2.7,7,2,2,2,2,Agreeableness,+
minimax/minimax-m2.7,7,3,4,4,4,Agreeableness,+
minimax/minimax-m2.7,7,4,5,5,5,Agreeableness,+
minimax/minimax-m2.7,7,5,1,1,1,Agreeableness,+
minimax/minimax-m2.7,7,6,1,1,1,Agreeableness,+
minimax/minimax-m2.7,7,7,2,2,2,Agreeableness,+
