model,repetition,Extraversion,Agreeableness,Conscientiousness,Emotional_Stability,Intellect_Openness,complete
qwen/qwen3.5-397b-a17b,1,28,43,46,49,45,True
qwen/qwen3.5-397b-a17b,2,32,43,47,49,44,True
qwen/qwen3.5-397b-a17b,3,29,44,46,48,43,True
qwen/qwen3.5-397b-a17b,4,25,42,45,48,45,True
qwen/qwen3.5-397b-a17b,5,26,41,44,49,44,True
qwen/qwen3.5-397b-a17b,6,29,44,44,49,43,True
qwen/qwen3.5-397b-a17b,7,27,43,46,49,45,True
qwen/qwen3.5-397b-a17b,8,27,43,45,48,46,True
qwen/qwen3.5-397b-a17b,9,24,42,45,49,44,True
qwen/qwen3.5-397b-a17b,10,25,42,45,48,44,True
