model,item_number,repetition,raw_response,parsed_response,timestamp,temperature,status,error_message,is_valid
moonshotai/kimi-k2.5,1,1, 1,1,2026-03-30T14:59:16.534006+00:00,1.0,success,,True
moonshotai/kimi-k2.5,1,2,2,2,2026-03-30T15:00:09.600445+00:00,1.0,success,,True
moonshotai/kimi-k2.5,1,3,2,2,2026-03-30T15:00:43.823408+00:00,1.0,success,,True
moonshotai/kimi-k2.5,1,4, 2,2,2026-03-30T15:02:22.235902+00:00,1.0,success,,True
moonshotai/kimi-k2.5,1,5, 1,1,2026-03-30T15:03:24.185889+00:00,1.0,success,,True
moonshotai/kimi-k2.5,1,6, 1,1,2026-03-30T15:03:47.530503+00:00,1.0,success,,True
moonshotai/kimi-k2.5,1,7, 1,1,2026-03-30T15:04:09.077791+00:00,1.0,success,,True
moonshotai/kimi-k2.5,1,8, 1,1,2026-03-30T15:04:53.056209+00:00,1.0,success,,True
moonshotai/kimi-k2.5,1,9, 1,1,2026-03-30T15:05:41.501718+00:00,1.0,success,,True
moonshotai/kimi-k2.5,1,10, 2,2,2026-03-30T15:06:28.048000+00:00,1.0,success,,True
moonshotai/kimi-k2.5,2,1, 1,1,2026-03-30T15:06:45.733661+00:00,1.0,success,,True
moonshotai/kimi-k2.5,2,2,1,1,2026-03-30T15:07:15.811983+00:00,1.0,success,,True
moonshotai/kimi-k2.5,2,3,1,1,2026-03-30T15:07:57.490350+00:00,1.0,success,,True
moonshotai/kimi-k2.5,2,4, 1,1,2026-03-30T15:08:28.765449+00:00,1.0,success,,True
moonshotai/kimi-k2.5,2,5, 1,1,2026-03-30T15:12:52.115808+00:00,1.0,success,,True
moonshotai/kimi-k2.5,2,6, 1,1,2026-03-30T15:13:35.373339+00:00,1.0,success,,True
moonshotai/kimi-k2.5,2,7, 1,1,2026-03-30T15:13:56.291951+00:00,1.0,success,,True
moonshotai/kimi-k2.5,2,8, 1,1,2026-03-30T15:14:46.987063+00:00,1.0,success,,True
moonshotai/kimi-k2.5,2,9, 1,1,2026-03-30T15:14:58.188502+00:00,1.0,success,,True
moonshotai/kimi-k2.5,2,10, 1,1,2026-03-30T15:15:11.375825+00:00,1.0,success,,True
moonshotai/kimi-k2.5,3,1, 3,3,2026-03-30T15:15:22.236434+00:00,1.0,success,,True
moonshotai/kimi-k2.5,3,2, 4,4,2026-03-30T15:15:29.079935+00:00,1.0,success,,True
moonshotai/kimi-k2.5,3,3, 4,4,2026-03-30T15:15:36.241411+00:00,1.0,success,,True
moonshotai/kimi-k2.5,3,4, 4,4,2026-03-30T15:15:42.490994+00:00,1.0,success,,True
moonshotai/kimi-k2.5,3,5, 4,4,2026-03-30T15:16:06.823355+00:00,1.0,success,,True
moonshotai/kimi-k2.5,3,6, 3,3,2026-03-30T15:17:00.416867+00:00,1.0,success,,True
moonshotai/kimi-k2.5,3,7, 3,3,2026-03-30T15:17:09.426782+00:00,1.0,success,,True
moonshotai/kimi-k2.5,3,8, 4,4,2026-03-30T15:17:34.533750+00:00,1.0,success,,True
moonshotai/kimi-k2.5,3,9, 4,4,2026-03-30T15:17:51.206619+00:00,1.0,success,,True
moonshotai/kimi-k2.5,3,10, 3,3,2026-03-30T15:18:45.527676+00:00,1.0,success,,True
moonshotai/kimi-k2.5,4,1,1,1,2026-03-30T15:19:02.180676+00:00,1.0,success,,True
moonshotai/kimi-k2.5,4,2, 1,1,2026-03-30T15:19:18.566934+00:00,1.0,success,,True
moonshotai/kimi-k2.5,4,3, 1,1,2026-03-30T15:19:37.188814+00:00,1.0,success,,True
moonshotai/kimi-k2.5,4,4, 1,1,2026-03-30T15:20:03.943775+00:00,1.0,success,,True
moonshotai/kimi-k2.5,4,5, 1,1,2026-03-30T15:20:12.782897+00:00,1.0,success,,True
moonshotai/kimi-k2.5,4,6, 1,1,2026-03-30T15:20:57.064188+00:00,1.0,success,,True
moonshotai/kimi-k2.5,4,7, 1,1,2026-03-30T15:21:23.991368+00:00,1.0,success,,True
moonshotai/kimi-k2.5,4,8, 1,1,2026-03-30T15:21:50.029765+00:00,1.0,success,,True
moonshotai/kimi-k2.5,4,9, 1,1,2026-03-30T15:22:10.469425+00:00,1.0,success,,True
moonshotai/kimi-k2.5,4,10, 1,1,2026-03-30T15:22:30.602590+00:00,1.0,success,,True
moonshotai/kimi-k2.5,5,1, 5,5,2026-03-30T15:22:39.945903+00:00,1.0,success,,True
moonshotai/kimi-k2.5,5,2, 5,5,2026-03-30T15:23:03.760659+00:00,1.0,success,,True
moonshotai/kimi-k2.5,5,3, 5,5,2026-03-30T15:23:11.386672+00:00,1.0,success,,True
moonshotai/kimi-k2.5,5,4,5,5,2026-03-30T15:23:27.280223+00:00,1.0,success,,True
moonshotai/kimi-k2.5,5,5, 5,5,2026-03-30T15:23:45.203866+00:00,1.0,success,,True
moonshotai/kimi-k2.5,5,6,5,5,2026-03-30T15:23:57.494598+00:00,1.0,success,,True
moonshotai/kimi-k2.5,5,7,5,5,2026-03-30T15:24:19.366768+00:00,1.0,success,,True
moonshotai/kimi-k2.5,5,8,5,5,2026-03-30T15:24:40.293033+00:00,1.0,success,,True
moonshotai/kimi-k2.5,5,9,5,5,2026-03-30T15:24:56.557172+00:00,1.0,success,,True
moonshotai/kimi-k2.5,5,10,5,5,2026-03-30T15:25:09.989627+00:00,1.0,success,,True
moonshotai/kimi-k2.5,6,1, 4,4,2026-03-30T15:26:46.231795+00:00,1.0,success,,True
moonshotai/kimi-k2.5,6,2, 2,2,2026-03-30T15:27:24.545700+00:00,1.0,success,,True
moonshotai/kimi-k2.5,6,3, 4,4,2026-03-30T15:28:00.643322+00:00,1.0,success,,True
moonshotai/kimi-k2.5,6,4,3,3,2026-03-30T15:29:03.733366+00:00,1.0,success,,True
moonshotai/kimi-k2.5,6,5,4,4,2026-03-30T15:29:37.253567+00:00,1.0,success,,True
moonshotai/kimi-k2.5,6,6, 1,1,2026-03-30T15:30:18.025053+00:00,1.0,success,,True
moonshotai/kimi-k2.5,6,7,4,4,2026-03-30T15:31:15.998296+00:00,1.0,success,,True
moonshotai/kimi-k2.5,6,8,3,3,2026-03-30T15:32:15.157986+00:00,1.0,success,,True
moonshotai/kimi-k2.5,6,9,4,4,2026-03-30T15:33:22.539521+00:00,1.0,success,,True
moonshotai/kimi-k2.5,6,10,2,2,2026-03-30T15:34:39.337820+00:00,1.0,success,,True
moonshotai/kimi-k2.5,7,1, 4,4,2026-03-30T15:35:37.260317+00:00,1.0,success,,True
moonshotai/kimi-k2.5,7,2, 4,4,2026-03-30T15:36:06.672200+00:00,1.0,success,,True
moonshotai/kimi-k2.5,7,3,4,4,2026-03-30T15:36:44.371129+00:00,1.0,success,,True
moonshotai/kimi-k2.5,7,4, 4,4,2026-03-30T15:36:59.950785+00:00,1.0,success,,True
moonshotai/kimi-k2.5,7,5, 5,5,2026-03-30T15:37:09.556128+00:00,1.0,success,,True
moonshotai/kimi-k2.5,7,6, 4,4,2026-03-30T15:37:25.222956+00:00,1.0,success,,True
moonshotai/kimi-k2.5,7,7,5,5,2026-03-30T15:37:51.427323+00:00,1.0,success,,True
moonshotai/kimi-k2.5,7,8, 5,5,2026-03-30T15:37:59.323822+00:00,1.0,success,,True
moonshotai/kimi-k2.5,7,9, 4,4,2026-03-30T15:38:19.920413+00:00,1.0,success,,True
moonshotai/kimi-k2.5,7,10, 4,4,2026-03-30T15:38:42.117532+00:00,1.0,success,,True
moonshotai/kimi-k2.5,8,1, 1,1,2026-03-30T15:38:53.297212+00:00,1.0,success,,True
moonshotai/kimi-k2.5,8,2,1,1,2026-03-30T15:39:24.398638+00:00,1.0,success,,True
moonshotai/kimi-k2.5,8,3,1,1,2026-03-30T15:39:55.843119+00:00,1.0,success,,True
moonshotai/kimi-k2.5,8,4,1,1,2026-03-30T15:40:15.802564+00:00,1.0,success,,True
moonshotai/kimi-k2.5,8,5,1,1,2026-03-30T15:40:44.452376+00:00,1.0,success,,True
moonshotai/kimi-k2.5,8,6,1,1,2026-03-30T15:41:07.410968+00:00,1.0,success,,True
moonshotai/kimi-k2.5,8,7,1,1,2026-03-30T15:41:36.413595+00:00,1.0,success,,True
moonshotai/kimi-k2.5,8,8,1,1,2026-03-30T15:41:52.981433+00:00,1.0,success,,True
moonshotai/kimi-k2.5,8,9,1,1,2026-03-30T15:42:01.884815+00:00,1.0,success,,True
moonshotai/kimi-k2.5,8,10,1,1,2026-03-30T15:42:28.922004+00:00,1.0,success,,True
moonshotai/kimi-k2.5,9,1, 3,3,2026-03-30T15:44:12.025775+00:00,1.0,success,,True
moonshotai/kimi-k2.5,9,2, 4,4,2026-03-30T15:46:04.144256+00:00,1.0,success,,True
moonshotai/kimi-k2.5,9,3, 4,4,2026-03-30T15:46:34.477113+00:00,1.0,success,,True
moonshotai/kimi-k2.5,9,4, 3,3,2026-03-30T15:47:01.280313+00:00,1.0,success,,True
moonshotai/kimi-k2.5,9,5,4,4,2026-03-30T15:48:56.353729+00:00,1.0,success,,True
moonshotai/kimi-k2.5,9,6, 4,4,2026-03-30T15:49:20.569445+00:00,1.0,success,,True
moonshotai/kimi-k2.5,9,7, 3,3,2026-03-30T15:50:00.710926+00:00,1.0,success,,True
moonshotai/kimi-k2.5,9,8, 3,3,2026-03-30T15:50:49.791720+00:00,1.0,success,,True
moonshotai/kimi-k2.5,9,9, 4,4,2026-03-30T15:52:13.339240+00:00,1.0,success,,True
moonshotai/kimi-k2.5,9,10, 4,4,2026-03-30T15:52:35.361953+00:00,1.0,success,,True
moonshotai/kimi-k2.5,10,1, 1,1,2026-03-30T15:52:44.139347+00:00,1.0,success,,True
moonshotai/kimi-k2.5,10,2, 1,1,2026-03-30T15:53:00.378620+00:00,1.0,success,,True
moonshotai/kimi-k2.5,10,3, 1,1,2026-03-30T15:53:05.476805+00:00,1.0,success,,True
moonshotai/kimi-k2.5,10,4, 1,1,2026-03-30T15:53:29.564220+00:00,1.0,success,,True
moonshotai/kimi-k2.5,10,5,1,1,2026-03-30T15:53:50.392581+00:00,1.0,success,,True
moonshotai/kimi-k2.5,10,6,1,1,2026-03-30T15:54:10.461258+00:00,1.0,success,,True
moonshotai/kimi-k2.5,10,7, 1,1,2026-03-30T15:54:17.662816+00:00,1.0,success,,True
moonshotai/kimi-k2.5,10,8, 1,1,2026-03-30T15:54:24.150354+00:00,1.0,success,,True
moonshotai/kimi-k2.5,10,9, 1,1,2026-03-30T15:54:36.569153+00:00,1.0,success,,True
moonshotai/kimi-k2.5,10,10, 1,1,2026-03-30T15:54:47.021258+00:00,1.0,success,,True
moonshotai/kimi-k2.5,11,1,4,4,2026-03-30T15:55:41.394138+00:00,1.0,success,,True
moonshotai/kimi-k2.5,11,2,4,4,2026-03-30T15:56:43.447792+00:00,1.0,success,,True
moonshotai/kimi-k2.5,11,3,3,3,2026-03-30T15:58:10.700998+00:00,1.0,success,,True
moonshotai/kimi-k2.5,11,4, 4,4,2026-03-30T15:58:24.004923+00:00,1.0,success,,True
moonshotai/kimi-k2.5,11,5,4,4,2026-03-30T15:58:56.566543+00:00,1.0,success,,True
moonshotai/kimi-k2.5,11,6,4,4,2026-03-30T15:59:53.302113+00:00,1.0,success,,True
moonshotai/kimi-k2.5,11,7, 4,4,2026-03-30T16:00:56.483677+00:00,1.0,success,,True
moonshotai/kimi-k2.5,11,8, 4,4,2026-03-30T16:01:19.110820+00:00,1.0,success,,True
moonshotai/kimi-k2.5,11,9,4,4,2026-03-30T16:01:43.855172+00:00,1.0,success,,True
moonshotai/kimi-k2.5,11,10, 4,4,2026-03-30T16:02:08.464682+00:00,1.0,success,,True
moonshotai/kimi-k2.5,12,1, 1,1,2026-03-30T16:02:27.742325+00:00,1.0,success,,True
moonshotai/kimi-k2.5,12,2, 1,1,2026-03-30T16:02:49.734683+00:00,1.0,success,,True
moonshotai/kimi-k2.5,12,3, 1,1,2026-03-30T16:03:22.474604+00:00,1.0,success,,True
moonshotai/kimi-k2.5,12,4,1,1,2026-03-30T16:03:39.665695+00:00,1.0,success,,True
moonshotai/kimi-k2.5,12,5, 1,1,2026-03-30T16:04:11.344132+00:00,1.0,success,,True
moonshotai/kimi-k2.5,12,6, 1,1,2026-03-30T16:04:30.282637+00:00,1.0,success,,True
moonshotai/kimi-k2.5,12,7, 1,1,2026-03-30T16:04:52.440083+00:00,1.0,success,,True
moonshotai/kimi-k2.5,12,8, 1,1,2026-03-30T16:05:03.501847+00:00,1.0,success,,True
moonshotai/kimi-k2.5,12,9, 1,1,2026-03-30T16:05:19.953723+00:00,1.0,success,,True
moonshotai/kimi-k2.5,12,10, 1,1,2026-03-30T16:05:30.284640+00:00,1.0,success,,True
moonshotai/kimi-k2.5,13,1,4,4,2026-03-30T22:01:33.790387+00:00,1.0,success,,True
moonshotai/kimi-k2.5,13,2,4,4,2026-03-30T16:07:24.717635+00:00,1.0,success,,True
moonshotai/kimi-k2.5,13,3,5,5,2026-03-30T16:07:42.122635+00:00,1.0,success,,True
moonshotai/kimi-k2.5,13,4,4,4,2026-03-30T16:08:01.680412+00:00,1.0,success,,True
moonshotai/kimi-k2.5,13,5,4,4,2026-03-30T16:08:27.082698+00:00,1.0,success,,True
moonshotai/kimi-k2.5,13,6,4,4,2026-03-30T16:08:52.968086+00:00,1.0,success,,True
moonshotai/kimi-k2.5,13,7,5,5,2026-03-30T16:09:07.582526+00:00,1.0,success,,True
moonshotai/kimi-k2.5,13,8,4,4,2026-03-30T16:09:36.934162+00:00,1.0,success,,True
moonshotai/kimi-k2.5,13,9,4,4,2026-03-30T16:10:01.673016+00:00,1.0,success,,True
moonshotai/kimi-k2.5,13,10,4,4,2026-03-30T16:10:33.526982+00:00,1.0,success,,True
moonshotai/kimi-k2.5,14,1,1,1,2026-03-30T16:10:59.459698+00:00,1.0,success,,True
moonshotai/kimi-k2.5,14,2,1,1,2026-03-30T16:11:15.913757+00:00,1.0,success,,True
moonshotai/kimi-k2.5,14,3,1,1,2026-03-30T16:11:35.125937+00:00,1.0,success,,True
moonshotai/kimi-k2.5,14,4,1,1,2026-03-30T16:11:42.607051+00:00,1.0,success,,True
moonshotai/kimi-k2.5,14,5,1,1,2026-03-30T16:12:04.558681+00:00,1.0,success,,True
moonshotai/kimi-k2.5,14,6,1,1,2026-03-30T16:12:17.155598+00:00,1.0,success,,True
moonshotai/kimi-k2.5,14,7,1,1,2026-03-30T16:12:38.181664+00:00,1.0,success,,True
moonshotai/kimi-k2.5,14,8,1,1,2026-03-30T16:12:59.283465+00:00,1.0,success,,True
moonshotai/kimi-k2.5,14,9,1,1,2026-03-30T16:13:18.814230+00:00,1.0,success,,True
moonshotai/kimi-k2.5,14,10,1,1,2026-03-30T16:13:32.691805+00:00,1.0,success,,True
moonshotai/kimi-k2.5,15,1, 4,4,2026-03-30T16:15:20.533401+00:00,1.0,success,,True
moonshotai/kimi-k2.5,15,2, 4,4,2026-03-30T16:16:21.318306+00:00,1.0,success,,True
moonshotai/kimi-k2.5,15,3, 4,4,2026-03-30T16:17:20.179390+00:00,1.0,success,,True
moonshotai/kimi-k2.5,15,4, 4,4,2026-03-30T16:18:07.792032+00:00,1.0,success,,True
moonshotai/kimi-k2.5,15,5, 4,4,2026-03-30T16:18:37.064284+00:00,1.0,success,,True
moonshotai/kimi-k2.5,15,6,4,4,2026-03-30T16:19:19.676672+00:00,1.0,success,,True
moonshotai/kimi-k2.5,15,7, 1,1,2026-03-30T16:20:02.582960+00:00,1.0,success,,True
moonshotai/kimi-k2.5,15,8, 4,4,2026-03-30T16:20:34.991349+00:00,1.0,success,,True
moonshotai/kimi-k2.5,15,9, 4,4,2026-03-30T16:21:52.155808+00:00,1.0,success,,True
moonshotai/kimi-k2.5,15,10, 4,4,2026-03-30T16:24:49.391153+00:00,1.0,success,,True
moonshotai/kimi-k2.5,16,1,3,3,2026-03-30T16:25:31.085412+00:00,1.0,success,,True
moonshotai/kimi-k2.5,16,2, 3,3,2026-03-30T16:25:49.545214+00:00,1.0,success,,True
moonshotai/kimi-k2.5,16,3, 3,3,2026-03-30T16:26:18.572362+00:00,1.0,success,,True
moonshotai/kimi-k2.5,16,4,3,3,2026-03-30T16:26:36.517838+00:00,1.0,success,,True
moonshotai/kimi-k2.5,16,5,4,4,2026-03-30T16:27:30.463104+00:00,1.0,success,,True
moonshotai/kimi-k2.5,16,6,3,3,2026-03-30T16:29:06.433248+00:00,1.0,success,,True
moonshotai/kimi-k2.5,16,7,3,3,2026-03-30T16:29:25.001008+00:00,1.0,success,,True
moonshotai/kimi-k2.5,16,8,2,2,2026-03-30T16:29:44.218442+00:00,1.0,success,,True
moonshotai/kimi-k2.5,16,9,4,4,2026-03-30T16:30:29.830536+00:00,1.0,success,,True
moonshotai/kimi-k2.5,16,10,3,3,2026-03-30T16:30:52.009710+00:00,1.0,success,,True
moonshotai/kimi-k2.5,17,1,4,4,2026-03-30T16:31:12.087288+00:00,1.0,success,,True
moonshotai/kimi-k2.5,17,2,4,4,2026-03-30T16:31:27.978066+00:00,1.0,success,,True
moonshotai/kimi-k2.5,17,3,4,4,2026-03-30T16:31:39.633806+00:00,1.0,success,,True
moonshotai/kimi-k2.5,17,4,4,4,2026-03-30T16:31:56.211005+00:00,1.0,success,,True
moonshotai/kimi-k2.5,17,5,4,4,2026-03-30T16:32:15.955152+00:00,1.0,success,,True
moonshotai/kimi-k2.5,17,6,4,4,2026-03-30T16:32:32.049970+00:00,1.0,success,,True
moonshotai/kimi-k2.5,17,7,4,4,2026-03-30T16:33:03.265800+00:00,1.0,success,,True
moonshotai/kimi-k2.5,17,8,4,4,2026-03-30T16:33:18.953976+00:00,1.0,success,,True
moonshotai/kimi-k2.5,17,9,5,5,2026-03-30T16:33:32.565783+00:00,1.0,success,,True
moonshotai/kimi-k2.5,17,10,4,4,2026-03-30T16:33:49.666892+00:00,1.0,success,,True
moonshotai/kimi-k2.5,18,1, 1,1,2026-03-30T16:33:58.734569+00:00,1.0,success,,True
moonshotai/kimi-k2.5,18,2,1,1,2026-03-30T16:34:42.325803+00:00,1.0,success,,True
moonshotai/kimi-k2.5,18,3, 1,1,2026-03-30T16:34:49.364201+00:00,1.0,success,,True
moonshotai/kimi-k2.5,18,4, 1,1,2026-03-30T16:35:00.864593+00:00,1.0,success,,True
moonshotai/kimi-k2.5,18,5, 1,1,2026-03-30T16:35:13.736915+00:00,1.0,success,,True
moonshotai/kimi-k2.5,18,6, 1,1,2026-03-30T16:35:21.109686+00:00,1.0,success,,True
moonshotai/kimi-k2.5,18,7, 1,1,2026-03-30T16:35:33.260085+00:00,1.0,success,,True
moonshotai/kimi-k2.5,18,8, 1,1,2026-03-30T16:35:38.270718+00:00,1.0,success,,True
moonshotai/kimi-k2.5,18,9, 1,1,2026-03-30T16:35:42.762689+00:00,1.0,success,,True
moonshotai/kimi-k2.5,18,10, 1,1,2026-03-30T16:35:56.542237+00:00,1.0,success,,True
moonshotai/kimi-k2.5,19,1,5,5,2026-03-30T16:36:16.965476+00:00,1.0,success,,True
moonshotai/kimi-k2.5,19,2, 5,5,2026-03-30T16:36:33.471770+00:00,1.0,success,,True
moonshotai/kimi-k2.5,19,3, 5,5,2026-03-30T16:36:46.917600+00:00,1.0,success,,True
moonshotai/kimi-k2.5,19,4, 5,5,2026-03-30T16:36:58.596420+00:00,1.0,success,,True
moonshotai/kimi-k2.5,19,5,5,5,2026-03-30T16:37:28.598580+00:00,1.0,success,,True
moonshotai/kimi-k2.5,19,6,4,4,2026-03-30T16:37:40.990227+00:00,1.0,success,,True
moonshotai/kimi-k2.5,19,7,5,5,2026-03-30T16:37:52.779955+00:00,1.0,success,,True
moonshotai/kimi-k2.5,19,8,5,5,2026-03-30T16:38:06.698351+00:00,1.0,success,,True
moonshotai/kimi-k2.5,19,9,5,5,2026-03-30T16:38:24.099764+00:00,1.0,success,,True
moonshotai/kimi-k2.5,19,10,5,5,2026-03-30T16:38:32.421492+00:00,1.0,success,,True
moonshotai/kimi-k2.5,20,1, 1,1,2026-03-30T16:38:43.553311+00:00,1.0,success,,True
moonshotai/kimi-k2.5,20,2,1,1,2026-03-30T16:39:09.872601+00:00,1.0,success,,True
moonshotai/kimi-k2.5,20,3, 1,1,2026-03-30T16:39:19.499933+00:00,1.0,success,,True
moonshotai/kimi-k2.5,20,4, 1,1,2026-03-30T16:39:27.145629+00:00,1.0,success,,True
moonshotai/kimi-k2.5,20,5, 1,1,2026-03-30T16:39:34.038338+00:00,1.0,success,,True
moonshotai/kimi-k2.5,20,6, 1,1,2026-03-30T16:39:40.690505+00:00,1.0,success,,True
moonshotai/kimi-k2.5,20,7, 1,1,2026-03-30T16:39:46.942846+00:00,1.0,success,,True
moonshotai/kimi-k2.5,20,8, 1,1,2026-03-30T16:39:50.779370+00:00,1.0,success,,True
moonshotai/kimi-k2.5,20,9, 1,1,2026-03-30T16:39:55.666517+00:00,1.0,success,,True
moonshotai/kimi-k2.5,20,10, 1,1,2026-03-30T16:40:01.790913+00:00,1.0,success,,True
moonshotai/kimi-k2.5,21,1,1,1,2026-03-30T16:40:21.861502+00:00,1.0,success,,True
moonshotai/kimi-k2.5,21,2, 1,1,2026-03-30T16:40:48.183118+00:00,1.0,success,,True
moonshotai/kimi-k2.5,21,3, 1,1,2026-03-30T16:40:52.443136+00:00,1.0,success,,True
moonshotai/kimi-k2.5,21,4, 1,1,2026-03-30T16:41:31.905643+00:00,1.0,success,,True
moonshotai/kimi-k2.5,21,5, 1,1,2026-03-30T16:41:42.348418+00:00,1.0,success,,True
moonshotai/kimi-k2.5,21,6, 1,1,2026-03-30T16:41:52.001653+00:00,1.0,success,,True
moonshotai/kimi-k2.5,21,7, 1,1,2026-03-30T16:42:02.545739+00:00,1.0,success,,True
moonshotai/kimi-k2.5,21,8, 1,1,2026-03-30T16:42:08.870969+00:00,1.0,success,,True
moonshotai/kimi-k2.5,21,9, 1,1,2026-03-30T16:42:21.567786+00:00,1.0,success,,True
moonshotai/kimi-k2.5,21,10, 1,1,2026-03-30T16:42:32.319720+00:00,1.0,success,,True
moonshotai/kimi-k2.5,22,1, 1,1,2026-03-30T16:42:39.794962+00:00,1.0,success,,True
moonshotai/kimi-k2.5,22,2, 1,1,2026-03-30T16:42:48.085700+00:00,1.0,success,,True
moonshotai/kimi-k2.5,22,3, 1,1,2026-03-30T16:42:54.378218+00:00,1.0,success,,True
moonshotai/kimi-k2.5,22,4, 1,1,2026-03-30T16:43:13.183465+00:00,1.0,success,,True
moonshotai/kimi-k2.5,22,5, 1,1,2026-03-30T16:43:20.022991+00:00,1.0,success,,True
moonshotai/kimi-k2.5,22,6, 1,1,2026-03-30T16:43:25.965453+00:00,1.0,success,,True
moonshotai/kimi-k2.5,22,7, 1,1,2026-03-30T16:43:29.436075+00:00,1.0,success,,True
moonshotai/kimi-k2.5,22,8, 1,1,2026-03-30T16:43:35.010646+00:00,1.0,success,,True
moonshotai/kimi-k2.5,22,9, 1,1,2026-03-30T16:43:41.312850+00:00,1.0,success,,True
moonshotai/kimi-k2.5,22,10, 1,1,2026-03-30T16:43:47.689108+00:00,1.0,success,,True
moonshotai/kimi-k2.5,23,1, 5,5,2026-03-30T16:43:53.272078+00:00,1.0,success,,True
moonshotai/kimi-k2.5,23,2, 4,4,2026-03-30T16:44:01.597371+00:00,1.0,success,,True
moonshotai/kimi-k2.5,23,3, 5,5,2026-03-30T16:44:58.857329+00:00,1.0,success,,True
moonshotai/kimi-k2.5,23,4, 5,5,2026-03-30T16:45:06.034899+00:00,1.0,success,,True
moonshotai/kimi-k2.5,23,5, 5,5,2026-03-30T16:45:14.215117+00:00,1.0,success,,True
