model,item_number,repetition,raw_response,parsed_response,timestamp,temperature,status,error_message,is_valid
qwen/qwen3.5-397b-a17b,1,1,1,1,2026-03-30T18:47:58.369668+00:00,1.0,success,,True
qwen/qwen3.5-397b-a17b,1,2,1,1,2026-03-30T18:48:08.305636+00:00,1.0,success,,True
qwen/qwen3.5-397b-a17b,1,3,1,1,2026-03-30T18:48:19.708779+00:00,1.0,success,,True
qwen/qwen3.5-397b-a17b,1,4,1,1,2026-03-30T18:48:36.925323+00:00,1.0,success,,True
qwen/qwen3.5-397b-a17b,1,5,1,1,2026-03-30T18:48:47.731646+00:00,1.0,success,,True
qwen/qwen3.5-397b-a17b,1,6,1,1,2026-03-30T18:49:05.241689+00:00,1.0,success,,True
qwen/qwen3.5-397b-a17b,1,7,1,1,2026-03-30T18:49:18.862245+00:00,1.0,success,,True
qwen/qwen3.5-397b-a17b,1,8,1,1,2026-03-30T18:49:30.278356+00:00,1.0,success,,True
qwen/qwen3.5-397b-a17b,1,9,"

1",1,2026-03-30T18:49:40.383602+00:00,1.0,success,,True
qwen/qwen3.5-397b-a17b,1,10,1,1,2026-03-30T18:49:56.400604+00:00,1.0,success,,True
qwen/qwen3.5-397b-a17b,2,1,1,1,2026-03-30T18:50:05.224149+00:00,1.0,success,,True
qwen/qwen3.5-397b-a17b,2,2,1,1,2026-03-30T18:50:20.447467+00:00,1.0,success,,True
qwen/qwen3.5-397b-a17b,2,3,1,1,2026-03-30T18:50:33.431636+00:00,1.0,success,,True
qwen/qwen3.5-397b-a17b,2,4,1,1,2026-03-30T18:50:44.643973+00:00,1.0,success,,True
qwen/qwen3.5-397b-a17b,2,5,1,1,2026-03-30T18:50:56.770777+00:00,1.0,success,,True
qwen/qwen3.5-397b-a17b,2,6,1,1,2026-03-30T18:51:12.301545+00:00,1.0,success,,True
qwen/qwen3.5-397b-a17b,2,7,"

1",1,2026-03-30T18:51:29.095270+00:00,1.0,success,,True
qwen/qwen3.5-397b-a17b,2,8,1,1,2026-03-30T18:51:42.100872+00:00,1.0,success,,True
qwen/qwen3.5-397b-a17b,2,9,1,1,2026-03-30T18:51:52.873044+00:00,1.0,success,,True
qwen/qwen3.5-397b-a17b,2,10,1,1,2026-03-30T18:52:07.332700+00:00,1.0,success,,True
qwen/qwen3.5-397b-a17b,3,1,4,4,2026-03-30T18:52:24.003604+00:00,1.0,success,,True
qwen/qwen3.5-397b-a17b,3,2,4,4,2026-03-30T18:53:33.786697+00:00,1.0,success,,True
qwen/qwen3.5-397b-a17b,3,3,4,4,2026-03-30T18:54:11.939774+00:00,1.0,success,,True
qwen/qwen3.5-397b-a17b,3,4,4,4,2026-03-30T18:54:59.203524+00:00,1.0,success,,True
qwen/qwen3.5-397b-a17b,3,5,4,4,2026-03-30T18:55:54.557823+00:00,1.0,success,,True
qwen/qwen3.5-397b-a17b,3,6,4,4,2026-03-30T18:57:36.163980+00:00,1.0,success,,True
qwen/qwen3.5-397b-a17b,3,7,4,4,2026-03-30T18:58:18.517432+00:00,1.0,success,,True
qwen/qwen3.5-397b-a17b,3,8,4,4,2026-03-30T18:58:43.195489+00:00,1.0,success,,True
qwen/qwen3.5-397b-a17b,3,9,4,4,2026-03-30T18:59:25.339264+00:00,1.0,success,,True
qwen/qwen3.5-397b-a17b,3,10,4,4,2026-03-30T19:00:30.827577+00:00,1.0,success,,True
