model,item_number,repetition,raw_response,parsed_response,timestamp,temperature,status,error_message,is_valid
z-ai/glm-5,1,1,1,1,2026-03-31T02:11:09.888409+00:00,1.0,success,,True
z-ai/glm-5,1,2,1,1,2026-03-31T02:12:54.212553+00:00,1.0,success,,True
z-ai/glm-5,1,3,1,1,2026-03-31T02:13:17.545141+00:00,1.0,success,,True
z-ai/glm-5,1,4,1,1,2026-03-31T02:13:37.196304+00:00,1.0,success,,True
z-ai/glm-5,1,5,1,1,2026-03-31T02:13:57.656738+00:00,1.0,success,,True
z-ai/glm-5,1,6,1,1,2026-03-31T02:14:20.398026+00:00,1.0,success,,True
z-ai/glm-5,1,7,1,1,2026-03-31T02:14:50.432738+00:00,1.0,success,,True
z-ai/glm-5,1,8,1,1,2026-03-31T02:15:17.651675+00:00,1.0,success,,True
z-ai/glm-5,1,9,1,1,2026-03-31T02:15:33.266346+00:00,1.0,success,,True
z-ai/glm-5,1,10,1,1,2026-03-31T02:16:02.094834+00:00,1.0,success,,True
z-ai/glm-5,2,1,1,1,2026-03-31T02:16:41.648055+00:00,1.0,success,,True
z-ai/glm-5,2,2,1,1,2026-03-31T02:16:47.125820+00:00,1.0,success,,True
z-ai/glm-5,2,3,1,1,2026-03-31T02:17:10.908921+00:00,1.0,success,,True
z-ai/glm-5,2,4,1,1,2026-03-31T02:17:24.246524+00:00,1.0,success,,True
z-ai/glm-5,2,5,1,1,2026-03-31T02:17:38.449681+00:00,1.0,success,,True
z-ai/glm-5,2,6,1,1,2026-03-31T02:18:13.986054+00:00,1.0,success,,True
z-ai/glm-5,2,7,1,1,2026-03-31T02:18:27.003216+00:00,1.0,success,,True
z-ai/glm-5,2,8,1,1,2026-03-31T02:18:52.900484+00:00,1.0,success,,True
z-ai/glm-5,2,9,1,1,2026-03-31T02:19:08.670211+00:00,1.0,success,,True
z-ai/glm-5,2,10,1,1,2026-03-31T02:19:28.817392+00:00,1.0,success,,True
z-ai/glm-5,3,1,5,5,2026-03-31T02:20:00.209278+00:00,1.0,success,,True
z-ai/glm-5,3,2,5,5,2026-03-31T02:20:32.847185+00:00,1.0,success,,True
z-ai/glm-5,3,3,4,4,2026-03-31T02:20:52.928215+00:00,1.0,success,,True
z-ai/glm-5,3,4,4,4,2026-03-31T02:21:42.762839+00:00,1.0,success,,True
z-ai/glm-5,3,5,5,5,2026-03-31T02:22:28.826011+00:00,1.0,success,,True
z-ai/glm-5,3,6,4,4,2026-03-31T02:23:03.347736+00:00,1.0,success,,True
z-ai/glm-5,3,7,5,5,2026-03-31T02:23:51.513803+00:00,1.0,success,,True
z-ai/glm-5,3,8,5,5,2026-03-31T02:24:23.808158+00:00,1.0,success,,True
z-ai/glm-5,3,9,5,5,2026-03-31T02:25:19.060578+00:00,1.0,success,,True
z-ai/glm-5,3,10,5,5,2026-03-31T02:25:47.556324+00:00,1.0,success,,True
z-ai/glm-5,4,1,1,1,2026-03-31T02:25:58.510543+00:00,1.0,success,,True
z-ai/glm-5,4,2,1,1,2026-03-31T02:26:31.159674+00:00,1.0,success,,True
z-ai/glm-5,4,3,1,1,2026-03-31T02:26:46.241535+00:00,1.0,success,,True
z-ai/glm-5,4,4,1,1,2026-03-31T02:26:56.754173+00:00,1.0,success,,True
z-ai/glm-5,4,5,1,1,2026-03-31T02:27:15.741091+00:00,1.0,success,,True
z-ai/glm-5,4,6,1,1,2026-03-31T02:27:39.383948+00:00,1.0,success,,True
z-ai/glm-5,4,7,1,1,2026-03-31T02:27:51.076734+00:00,1.0,success,,True
z-ai/glm-5,4,8,1,1,2026-03-31T02:28:00.012649+00:00,1.0,success,,True
z-ai/glm-5,4,9,1,1,2026-03-31T02:28:33.981333+00:00,1.0,success,,True
z-ai/glm-5,4,10,1,1,2026-03-31T02:28:45.198146+00:00,1.0,success,,True
z-ai/glm-5,5,1,5,5,2026-03-31T02:29:27.191782+00:00,1.0,success,,True
z-ai/glm-5,5,2,5,5,2026-03-31T02:29:35.066431+00:00,1.0,success,,True
z-ai/glm-5,5,3,5,5,2026-03-31T02:29:39.163123+00:00,1.0,success,,True
z-ai/glm-5,5,4,5,5,2026-03-31T02:29:42.436982+00:00,1.0,success,,True
z-ai/glm-5,5,5,5,5,2026-03-31T02:29:47.765536+00:00,1.0,success,,True
z-ai/glm-5,5,6,5,5,2026-03-31T02:29:50.631162+00:00,1.0,success,,True
z-ai/glm-5,5,7,5,5,2026-03-31T02:29:53.506820+00:00,1.0,success,,True
z-ai/glm-5,5,8,5,5,2026-03-31T02:30:08.214607+00:00,1.0,success,,True
z-ai/glm-5,5,9,5,5,2026-03-31T02:30:17.665098+00:00,1.0,success,,True
z-ai/glm-5,5,10,5,5,2026-03-31T02:30:25.652109+00:00,1.0,success,,True
z-ai/glm-5,6,1,5,5,2026-03-31T02:31:12.900137+00:00,1.0,success,,True
z-ai/glm-5,6,2,1,1,2026-03-31T02:32:20.037016+00:00,1.0,success,,True
z-ai/glm-5,6,3,2,2,2026-03-31T02:33:43.298848+00:00,1.0,success,,True
z-ai/glm-5,6,4,2,2,2026-03-31T02:33:58.439554+00:00,1.0,success,,True
z-ai/glm-5,6,5,1,1,2026-03-31T02:34:40.841668+00:00,1.0,success,,True
z-ai/glm-5,6,6,2,2,2026-03-31T02:34:49.166686+00:00,1.0,success,,True
z-ai/glm-5,6,7,1,1,2026-03-31T02:35:05.724097+00:00,1.0,success,,True
z-ai/glm-5,6,8,2,2,2026-03-31T02:35:10.765191+00:00,1.0,success,,True
z-ai/glm-5,6,9,1,1,2026-03-31T02:35:32.766246+00:00,1.0,success,,True
z-ai/glm-5,6,10,2,2,2026-03-31T02:35:51.396414+00:00,1.0,success,,True
z-ai/glm-5,7,1,5,5,2026-03-31T02:35:59.666059+00:00,1.0,success,,True
z-ai/glm-5,7,2,5,5,2026-03-31T02:36:15.566084+00:00,1.0,success,,True
z-ai/glm-5,7,3,5,5,2026-03-31T02:36:28.506318+00:00,1.0,success,,True
z-ai/glm-5,7,4,4,4,2026-03-31T02:36:43.308709+00:00,1.0,success,,True
z-ai/glm-5,7,5,5,5,2026-03-31T02:36:57.343356+00:00,1.0,success,,True
z-ai/glm-5,7,6,5,5,2026-03-31T02:37:12.666367+00:00,1.0,success,,True
z-ai/glm-5,7,7,5,5,2026-03-31T02:37:21.037027+00:00,1.0,success,,True
z-ai/glm-5,7,8,5,5,2026-03-31T02:38:09.679239+00:00,1.0,success,,True
z-ai/glm-5,7,9,5,5,2026-03-31T02:38:32.062902+00:00,1.0,success,,True
z-ai/glm-5,7,10,5,5,2026-03-31T02:38:45.686282+00:00,1.0,success,,True
z-ai/glm-5,8,1,1,1,2026-03-31T02:39:07.539392+00:00,1.0,success,,True
z-ai/glm-5,8,2,1,1,2026-03-31T02:39:42.618445+00:00,1.0,success,,True
z-ai/glm-5,8,3,1,1,2026-03-31T02:40:09.350307+00:00,1.0,success,,True
z-ai/glm-5,8,4,1,1,2026-03-31T02:40:21.911812+00:00,1.0,success,,True
z-ai/glm-5,8,5,1,1,2026-03-31T02:40:43.363932+00:00,1.0,success,,True
z-ai/glm-5,8,6,2,2,2026-03-31T02:41:07.154663+00:00,1.0,success,,True
z-ai/glm-5,8,7,1,1,2026-03-31T02:41:12.530513+00:00,1.0,success,,True
z-ai/glm-5,8,8,2,2,2026-03-31T02:41:32.906505+00:00,1.0,success,,True
z-ai/glm-5,8,9,2,2,2026-03-31T21:11:29.578620+00:00,1.0,success,,True
z-ai/glm-5,8,10,2,2,2026-03-31T02:42:27.851638+00:00,1.0,success,,True
z-ai/glm-5,9,1,4,4,2026-03-31T02:43:49.007134+00:00,1.0,success,,True
z-ai/glm-5,9,2,3,3,2026-03-31T02:44:04.502158+00:00,1.0,success,,True
z-ai/glm-5,9,3,5,5,2026-03-31T02:44:22.838651+00:00,1.0,success,,True
z-ai/glm-5,9,4,3,3,2026-03-31T02:44:51.262659+00:00,1.0,success,,True
z-ai/glm-5,9,5,4,4,2026-03-31T02:45:00.003420+00:00,1.0,success,,True
z-ai/glm-5,9,6,4,4,2026-03-31T02:45:08.360727+00:00,1.0,success,,True
z-ai/glm-5,9,7,5,5,2026-03-31T02:45:14.392291+00:00,1.0,success,,True
z-ai/glm-5,9,8,4,4,2026-03-31T02:45:20.853833+00:00,1.0,success,,True
z-ai/glm-5,9,9,4,4,2026-03-31T02:45:24.821485+00:00,1.0,success,,True
z-ai/glm-5,9,10,5,5,2026-03-31T02:45:40.521480+00:00,1.0,success,,True
z-ai/glm-5,10,1,1,1,2026-03-31T02:45:48.707015+00:00,1.0,success,,True
z-ai/glm-5,10,2,1,1,2026-03-31T02:45:53.814076+00:00,1.0,success,,True
z-ai/glm-5,10,3,1,1,2026-03-31T02:46:03.659832+00:00,1.0,success,,True
z-ai/glm-5,10,4,1,1,2026-03-31T02:46:09.146778+00:00,1.0,success,,True
z-ai/glm-5,10,5,1,1,2026-03-31T02:46:15.128376+00:00,1.0,success,,True
z-ai/glm-5,10,6,1,1,2026-03-31T02:46:17.406450+00:00,1.0,success,,True
z-ai/glm-5,10,7,1,1,2026-03-31T02:46:27.744697+00:00,1.0,success,,True
z-ai/glm-5,10,8,1,1,2026-03-31T02:46:33.049003+00:00,1.0,success,,True
z-ai/glm-5,10,9,1,1,2026-03-31T02:46:39.089942+00:00,1.0,success,,True
z-ai/glm-5,10,10,1,1,2026-03-31T02:46:42.671395+00:00,1.0,success,,True
z-ai/glm-5,11,1,5,5,2026-03-31T02:46:50.227992+00:00,1.0,success,,True
z-ai/glm-5,11,2,4,4,2026-03-31T02:46:58.213060+00:00,1.0,success,,True
z-ai/glm-5,11,3,4,4,2026-03-31T02:47:16.179695+00:00,1.0,success,,True
z-ai/glm-5,11,4,5,5,2026-03-31T02:47:51.695158+00:00,1.0,success,,True
z-ai/glm-5,11,5,5,5,2026-03-31T02:48:02.444767+00:00,1.0,success,,True
z-ai/glm-5,11,6,4,4,2026-03-31T02:48:08.858506+00:00,1.0,success,,True
z-ai/glm-5,11,7,4,4,2026-03-31T02:48:19.350290+00:00,1.0,success,,True
z-ai/glm-5,11,8,5,5,2026-03-31T02:48:26.025776+00:00,1.0,success,,True
z-ai/glm-5,11,9,4,4,2026-03-31T02:48:36.851728+00:00,1.0,success,,True
z-ai/glm-5,11,10,4,4,2026-03-31T02:48:47.401271+00:00,1.0,success,,True
z-ai/glm-5,12,1,1,1,2026-03-31T02:48:52.141591+00:00,1.0,success,,True
z-ai/glm-5,12,2,1,1,2026-03-31T02:48:56.142401+00:00,1.0,success,,True
z-ai/glm-5,12,3,1,1,2026-03-31T02:48:59.175726+00:00,1.0,success,,True
z-ai/glm-5,12,4,1,1,2026-03-31T02:49:04.964491+00:00,1.0,success,,True
z-ai/glm-5,12,5,1,1,2026-03-31T02:49:11.312805+00:00,1.0,success,,True
z-ai/glm-5,12,6,1,1,2026-03-31T02:49:15.094786+00:00,1.0,success,,True
z-ai/glm-5,12,7,1,1,2026-03-31T02:49:19.145254+00:00,1.0,success,,True
z-ai/glm-5,12,8,1,1,2026-03-31T02:49:23.547571+00:00,1.0,success,,True
z-ai/glm-5,12,9,1,1,2026-03-31T02:49:26.617491+00:00,1.0,success,,True
z-ai/glm-5,12,10,1,1,2026-03-31T02:49:42.479346+00:00,1.0,success,,True
z-ai/glm-5,13,1,5,5,2026-03-31T02:49:50.723388+00:00,1.0,success,,True
z-ai/glm-5,13,2,5,5,2026-03-31T02:50:02.162802+00:00,1.0,success,,True
z-ai/glm-5,13,3,5,5,2026-03-31T02:50:09.782370+00:00,1.0,success,,True
z-ai/glm-5,13,4,5,5,2026-03-31T02:50:35.231436+00:00,1.0,success,,True
z-ai/glm-5,13,5,5,5,2026-03-31T02:50:55.404535+00:00,1.0,success,,True
z-ai/glm-5,13,6,5,5,2026-03-31T02:51:01.443417+00:00,1.0,success,,True
z-ai/glm-5,13,7,5,5,2026-03-31T02:51:11.607070+00:00,1.0,success,,True
z-ai/glm-5,13,8,5,5,2026-03-31T02:51:17.275128+00:00,1.0,success,,True
z-ai/glm-5,13,9,5,5,2026-03-31T02:51:34.841655+00:00,1.0,success,,True
z-ai/glm-5,13,10,5,5,2026-03-31T02:51:39.159419+00:00,1.0,success,,True
z-ai/glm-5,14,1,1,1,2026-03-31T02:51:54.953469+00:00,1.0,success,,True
z-ai/glm-5,14,2,1,1,2026-03-31T02:52:57.468029+00:00,1.0,success,,True
z-ai/glm-5,14,3,2,2,2026-03-31T02:53:27.302357+00:00,1.0,success,,True
z-ai/glm-5,14,4,1,1,2026-03-31T02:53:37.257139+00:00,1.0,success,,True
z-ai/glm-5,14,5,1,1,2026-03-31T02:54:19.801203+00:00,1.0,success,,True
z-ai/glm-5,14,6,1,1,2026-03-31T02:54:58.302117+00:00,1.0,success,,True
z-ai/glm-5,14,7,1,1,2026-03-31T02:55:55.546555+00:00,1.0,success,,True
z-ai/glm-5,14,8,1,1,2026-03-31T02:56:43.948859+00:00,1.0,success,,True
z-ai/glm-5,14,9,1,1,2026-03-31T02:56:58.785947+00:00,1.0,success,,True
z-ai/glm-5,14,10,1,1,2026-03-31T02:58:30.791728+00:00,1.0,success,,True
z-ai/glm-5,15,1,5,5,2026-03-31T02:58:45.454749+00:00,1.0,success,,True
z-ai/glm-5,15,2,4,4,2026-03-31T02:59:13.882775+00:00,1.0,success,,True
z-ai/glm-5,15,3,5,5,2026-03-31T02:59:28.977256+00:00,1.0,success,,True
z-ai/glm-5,15,4,5,5,2026-03-31T02:59:37.448916+00:00,1.0,success,,True
z-ai/glm-5,15,5,5,5,2026-03-31T02:59:55.067308+00:00,1.0,success,,True
z-ai/glm-5,15,6,4,4,2026-03-31T03:00:18.310021+00:00,1.0,success,,True
z-ai/glm-5,15,7,5,5,2026-03-31T03:00:28.727736+00:00,1.0,success,,True
z-ai/glm-5,15,8,5,5,2026-03-31T03:00:50.462604+00:00,1.0,success,,True
z-ai/glm-5,15,9,4,4,2026-03-31T03:00:57.008398+00:00,1.0,success,,True
z-ai/glm-5,15,10,5,5,2026-03-31T03:01:06.848702+00:00,1.0,success,,True
z-ai/glm-5,16,1,4,4,2026-03-31T03:02:30.291935+00:00,1.0,success,,True
z-ai/glm-5,16,2,3,3,2026-03-31T03:02:55.772461+00:00,1.0,success,,True
z-ai/glm-5,16,3,1,1,2026-03-31T03:04:39.518123+00:00,1.0,success,,True
z-ai/glm-5,16,4,4,4,2026-03-31T21:12:55.198610+00:00,1.0,success,,True
z-ai/glm-5,16,5,4,4,2026-03-31T21:13:56.530548+00:00,1.0,success,,True
z-ai/glm-5,16,6,3,3,2026-03-31T03:09:11.688643+00:00,1.0,success,,True
z-ai/glm-5,16,7,3,3,2026-03-31T03:10:18.996864+00:00,1.0,success,,True
z-ai/glm-5,16,8,2,2,2026-03-31T03:12:09.391473+00:00,1.0,success,,True
z-ai/glm-5,16,9,2,2,2026-03-31T03:13:04.848239+00:00,1.0,success,,True
z-ai/glm-5,16,10,2,2,2026-03-31T03:13:39.472456+00:00,1.0,success,,True
z-ai/glm-5,17,1,5,5,2026-03-31T03:17:51.807406+00:00,1.0,success,,True
z-ai/glm-5,17,2,5,5,2026-03-31T03:18:26.977844+00:00,1.0,success,,True
z-ai/glm-5,17,3,5,5,2026-03-31T03:18:51.178016+00:00,1.0,success,,True
z-ai/glm-5,17,4,5,5,2026-03-31T03:19:13.757156+00:00,1.0,success,,True
z-ai/glm-5,17,5,5,5,2026-03-31T03:19:33.758544+00:00,1.0,success,,True
z-ai/glm-5,17,6,5,5,2026-03-31T03:19:42.186313+00:00,1.0,success,,True
z-ai/glm-5,17,7,5,5,2026-03-31T03:19:52.413733+00:00,1.0,success,,True
z-ai/glm-5,17,8,5,5,2026-03-31T03:20:03.985099+00:00,1.0,success,,True
z-ai/glm-5,17,9,5,5,2026-03-31T03:20:27.846657+00:00,1.0,success,,True
z-ai/glm-5,17,10,5,5,2026-03-31T03:20:43.513903+00:00,1.0,success,,True
z-ai/glm-5,18,1,1,1,2026-03-31T03:20:52.681069+00:00,1.0,success,,True
z-ai/glm-5,18,2,1,1,2026-03-31T03:21:44.338668+00:00,1.0,success,,True
z-ai/glm-5,18,3,2,2,2026-03-31T03:21:49.682952+00:00,1.0,success,,True
z-ai/glm-5,18,4,2,2,2026-03-31T03:21:57.857563+00:00,1.0,success,,True
z-ai/glm-5,18,5,1,1,2026-03-31T03:22:05.856686+00:00,1.0,success,,True
z-ai/glm-5,18,6,1,1,2026-03-31T03:22:11.635685+00:00,1.0,success,,True
z-ai/glm-5,18,7,2,2,2026-03-31T03:23:06.800220+00:00,1.0,success,,True
z-ai/glm-5,18,8,1,1,2026-03-31T03:23:16.417949+00:00,1.0,success,,True
z-ai/glm-5,18,9,1,1,2026-03-31T03:23:42.838409+00:00,1.0,success,,True
z-ai/glm-5,18,10,1,1,2026-03-31T03:23:54.418606+00:00,1.0,success,,True
z-ai/glm-5,19,1,5,5,2026-03-31T03:24:23.015535+00:00,1.0,success,,True
z-ai/glm-5,19,2,5,5,2026-03-31T03:24:35.453838+00:00,1.0,success,,True
z-ai/glm-5,19,3,4,4,2026-03-31T03:25:36.075652+00:00,1.0,success,,True
z-ai/glm-5,19,4,4,4,2026-03-31T03:26:20.348051+00:00,1.0,success,,True
z-ai/glm-5,19,5,4,4,2026-03-31T03:26:36.078197+00:00,1.0,success,,True
z-ai/glm-5,19,6,5,5,2026-03-31T03:27:06.671028+00:00,1.0,success,,True
z-ai/glm-5,19,7,4,4,2026-03-31T03:27:20.002641+00:00,1.0,success,,True
z-ai/glm-5,19,8,4,4,2026-03-31T03:27:45.810714+00:00,1.0,success,,True
z-ai/glm-5,19,9,5,5,2026-03-31T03:28:07.174683+00:00,1.0,success,,True
z-ai/glm-5,19,10,5,5,2026-03-31T03:28:35.746188+00:00,1.0,success,,True
z-ai/glm-5,20,1,1,1,2026-03-31T03:28:49.392235+00:00,1.0,success,,True
z-ai/glm-5,20,2,1,1,2026-03-31T03:29:10.681663+00:00,1.0,success,,True
z-ai/glm-5,20,3,1,1,2026-03-31T03:29:20.529222+00:00,1.0,success,,True
z-ai/glm-5,20,4,1,1,2026-03-31T03:29:38.758239+00:00,1.0,success,,True
z-ai/glm-5,20,5,1,1,2026-03-31T03:29:55.102414+00:00,1.0,success,,True
z-ai/glm-5,20,6,1,1,2026-03-31T03:30:00.588231+00:00,1.0,success,,True
z-ai/glm-5,20,7,1,1,2026-03-31T03:30:04.076233+00:00,1.0,success,,True
z-ai/glm-5,20,8,1,1,2026-03-31T03:30:13.625253+00:00,1.0,success,,True
z-ai/glm-5,20,9,1,1,2026-03-31T03:30:18.529899+00:00,1.0,success,,True
z-ai/glm-5,20,10,1,1,2026-03-31T03:30:29.548099+00:00,1.0,success,,True
z-ai/glm-5,21,1,1,1,2026-03-31T03:30:58.035892+00:00,1.0,success,,True
z-ai/glm-5,21,2,2,2,2026-03-31T03:31:04.592797+00:00,1.0,success,,True
z-ai/glm-5,21,3,4,4,2026-03-31T03:31:25.867666+00:00,1.0,success,,True
z-ai/glm-5,21,4,1,1,2026-03-31T03:32:18.815648+00:00,1.0,success,,True
