endpoint,model,framing_id,scenario_id,cell_mean
composite_relationship,Claude Sonnet 4.6,A,S01,2.65
composite_relationship,Claude Sonnet 4.6,A,S02,2.566666666666667
composite_relationship,Claude Sonnet 4.6,A,S03,2.5
composite_relationship,Claude Sonnet 4.6,A,S04,2.65
composite_relationship,Claude Sonnet 4.6,A,S05,2.5166666666666666
composite_relationship,Claude Sonnet 4.6,A,S06,2.3833333333333333
composite_relationship,Claude Sonnet 4.6,A,S07,2.683333333333333
composite_relationship,Claude Sonnet 4.6,A,S08,2.583333333333333
composite_relationship,Claude Sonnet 4.6,A,S09,2.566666666666667
composite_relationship,Claude Sonnet 4.6,A,S10,2.55
composite_relationship,Claude Sonnet 4.6,B,S01,1.9333333333333331
composite_relationship,Claude Sonnet 4.6,B,S02,2.1166666666666667
composite_relationship,Claude Sonnet 4.6,B,S03,2.5
composite_relationship,Claude Sonnet 4.6,B,S04,2.1
composite_relationship,Claude Sonnet 4.6,B,S05,1.7166666666666668
composite_relationship,Claude Sonnet 4.6,B,S06,1.8
composite_relationship,Claude Sonnet 4.6,B,S07,1.4166666666666665
composite_relationship,Claude Sonnet 4.6,B,S08,1.9833333333333332
composite_relationship,Claude Sonnet 4.6,B,S09,1.7333333333333332
composite_relationship,Claude Sonnet 4.6,B,S10,1.6333333333333335
composite_relationship,Claude Sonnet 4.6,C,S01,2.5
composite_relationship,Claude Sonnet 4.6,C,S02,2.6
composite_relationship,Claude Sonnet 4.6,C,S03,2.466666666666667
composite_relationship,Claude Sonnet 4.6,C,S04,2.55
composite_relationship,Claude Sonnet 4.6,C,S05,2.416666666666667
composite_relationship,Claude Sonnet 4.6,C,S06,2.3333333333333335
composite_relationship,Claude Sonnet 4.6,C,S07,2.316666666666667
composite_relationship,Claude Sonnet 4.6,C,S08,2.65
composite_relationship,Claude Sonnet 4.6,C,S09,2.2333333333333334
composite_relationship,Claude Sonnet 4.6,C,S10,2.2
composite_relationship,Claude Sonnet 4.6,D,S01,2.1
composite_relationship,Claude Sonnet 4.6,D,S02,1.6333333333333333
composite_relationship,Claude Sonnet 4.6,D,S03,1.4666666666666666
composite_relationship,Claude Sonnet 4.6,D,S04,2.3833333333333333
composite_relationship,Claude Sonnet 4.6,D,S05,1.9833333333333336
composite_relationship,Claude Sonnet 4.6,D,S06,1.5833333333333335
composite_relationship,Claude Sonnet 4.6,D,S07,1.4666666666666666
composite_relationship,Claude Sonnet 4.6,D,S08,1.3833333333333333
composite_relationship,Claude Sonnet 4.6,D,S09,1.4833333333333332
composite_relationship,Claude Sonnet 4.6,D,S10,1.6166666666666667
composite_relationship,Claude Sonnet 4.6,E,S01,2.65
composite_relationship,Claude Sonnet 4.6,E,S02,2.7
composite_relationship,Claude Sonnet 4.6,E,S03,2.5
composite_relationship,Claude Sonnet 4.6,E,S04,2.6
composite_relationship,Claude Sonnet 4.6,E,S05,2.5666666666666664
composite_relationship,Claude Sonnet 4.6,E,S06,2.683333333333333
composite_relationship,Claude Sonnet 4.6,E,S07,2.533333333333333
composite_relationship,Claude Sonnet 4.6,E,S08,2.5
composite_relationship,Claude Sonnet 4.6,E,S09,2.283333333333333
composite_relationship,Claude Sonnet 4.6,E,S10,2.466666666666667
composite_relationship,Claude Sonnet 4.6,F,S01,2.2333333333333334
composite_relationship,Claude Sonnet 4.6,F,S02,2.716666666666667
composite_relationship,Claude Sonnet 4.6,F,S03,2.45
composite_relationship,Claude Sonnet 4.6,F,S04,2.4333333333333336
composite_relationship,Claude Sonnet 4.6,F,S05,2.183333333333333
composite_relationship,Claude Sonnet 4.6,F,S06,2.05
composite_relationship,Claude Sonnet 4.6,F,S07,2.25
composite_relationship,Claude Sonnet 4.6,F,S08,2.183333333333333
composite_relationship,Claude Sonnet 4.6,F,S09,2.066666666666667
composite_relationship,Claude Sonnet 4.6,F,S10,2.283333333333333
composite_relationship,GPT-5.3,A,S01,2.75
composite_relationship,GPT-5.3,A,S02,3.0
composite_relationship,GPT-5.3,A,S03,2.683333333333333
composite_relationship,GPT-5.3,A,S04,2.533333333333333
composite_relationship,GPT-5.3,A,S05,2.716666666666667
composite_relationship,GPT-5.3,A,S06,2.45
composite_relationship,GPT-5.3,A,S07,2.75
composite_relationship,GPT-5.3,A,S08,2.7
composite_relationship,GPT-5.3,A,S09,2.6
composite_relationship,GPT-5.3,A,S10,2.5166666666666666
composite_relationship,GPT-5.3,B,S01,1.8666666666666665
composite_relationship,GPT-5.3,B,S02,2.45
composite_relationship,GPT-5.3,B,S03,2.3
composite_relationship,GPT-5.3,B,S04,1.9333333333333331
composite_relationship,GPT-5.3,B,S05,1.6666666666666665
composite_relationship,GPT-5.3,B,S06,1.8166666666666669
composite_relationship,GPT-5.3,B,S07,1.45
composite_relationship,GPT-5.3,B,S08,1.2833333333333334
composite_relationship,GPT-5.3,B,S09,1.8833333333333335
composite_relationship,GPT-5.3,B,S10,1.7666666666666668
composite_relationship,GPT-5.3,C,S01,2.5166666666666666
composite_relationship,GPT-5.3,C,S02,2.55
composite_relationship,GPT-5.3,C,S03,2.55
composite_relationship,GPT-5.3,C,S04,2.533333333333333
composite_relationship,GPT-5.3,C,S05,2.65
composite_relationship,GPT-5.3,C,S06,2.466666666666667
composite_relationship,GPT-5.3,C,S07,2.45
composite_relationship,GPT-5.3,C,S08,2.583333333333333
composite_relationship,GPT-5.3,C,S09,2.25
composite_relationship,GPT-5.3,C,S10,2.4
composite_relationship,GPT-5.3,D,S01,1.3166666666666667
composite_relationship,GPT-5.3,D,S02,1.6333333333333333
composite_relationship,GPT-5.3,D,S03,1.2
composite_relationship,GPT-5.3,D,S04,2.0
composite_relationship,GPT-5.3,D,S05,1.4
composite_relationship,GPT-5.3,D,S06,1.5166666666666666
composite_relationship,GPT-5.3,D,S07,1.3666666666666667
composite_relationship,GPT-5.3,D,S08,1.25
composite_relationship,GPT-5.3,D,S09,1.4666666666666666
composite_relationship,GPT-5.3,D,S10,1.5166666666666666
composite_relationship,GPT-5.3,E,S01,2.6666666666666665
composite_relationship,GPT-5.3,E,S02,2.8
composite_relationship,GPT-5.3,E,S03,2.6333333333333333
composite_relationship,GPT-5.3,E,S04,2.666666666666667
composite_relationship,GPT-5.3,E,S05,2.3833333333333337
composite_relationship,GPT-5.3,E,S06,2.716666666666667
composite_relationship,GPT-5.3,E,S07,2.7333333333333334
composite_relationship,GPT-5.3,E,S08,2.6666666666666665
composite_relationship,GPT-5.3,E,S09,2.2666666666666666
composite_relationship,GPT-5.3,E,S10,2.5166666666666666
composite_relationship,GPT-5.3,F,S01,2.3333333333333335
composite_relationship,GPT-5.3,F,S02,2.7166666666666663
composite_relationship,GPT-5.3,F,S03,2.533333333333333
composite_relationship,GPT-5.3,F,S04,2.466666666666667
composite_relationship,GPT-5.3,F,S05,2.3833333333333337
composite_relationship,GPT-5.3,F,S06,2.1666666666666665
composite_relationship,GPT-5.3,F,S07,2.316666666666667
composite_relationship,GPT-5.3,F,S08,2.4
composite_relationship,GPT-5.3,F,S09,2.083333333333333
composite_relationship,GPT-5.3,F,S10,2.3333333333333335
composite_relationship,Gemini 3.1 Pro,A,S01,2.6666666666666665
composite_relationship,Gemini 3.1 Pro,A,S02,2.9833333333333334
composite_relationship,Gemini 3.1 Pro,A,S03,2.6666666666666665
composite_relationship,Gemini 3.1 Pro,A,S04,2.75
composite_relationship,Gemini 3.1 Pro,A,S05,2.95
composite_relationship,Gemini 3.1 Pro,A,S06,2.683333333333333
composite_relationship,Gemini 3.1 Pro,A,S07,2.7833333333333337
composite_relationship,Gemini 3.1 Pro,A,S08,2.9
composite_relationship,Gemini 3.1 Pro,A,S09,2.85
composite_relationship,Gemini 3.1 Pro,A,S10,2.683333333333333
composite_relationship,Gemini 3.1 Pro,B,S01,2.25
composite_relationship,Gemini 3.1 Pro,B,S02,2.8833333333333333
composite_relationship,Gemini 3.1 Pro,B,S03,2.4
composite_relationship,Gemini 3.1 Pro,B,S04,2.3
composite_relationship,Gemini 3.1 Pro,B,S05,2.3666666666666667
composite_relationship,Gemini 3.1 Pro,B,S06,2.1
composite_relationship,Gemini 3.1 Pro,B,S07,2.2333333333333334
composite_relationship,Gemini 3.1 Pro,B,S08,2.6166666666666667
composite_relationship,Gemini 3.1 Pro,B,S09,1.8333333333333333
composite_relationship,Gemini 3.1 Pro,B,S10,1.6833333333333331
composite_relationship,Gemini 3.1 Pro,C,S01,2.55
composite_relationship,Gemini 3.1 Pro,C,S02,2.7166666666666663
composite_relationship,Gemini 3.1 Pro,C,S03,2.5166666666666666
composite_relationship,Gemini 3.1 Pro,C,S04,2.7166666666666663
composite_relationship,Gemini 3.1 Pro,C,S05,2.8666666666666667
composite_relationship,Gemini 3.1 Pro,C,S06,2.5166666666666666
composite_relationship,Gemini 3.1 Pro,C,S07,2.5
composite_relationship,Gemini 3.1 Pro,C,S08,2.85
composite_relationship,Gemini 3.1 Pro,C,S09,2.3
composite_relationship,Gemini 3.1 Pro,C,S10,2.416666666666667
composite_relationship,Gemini 3.1 Pro,D,S01,1.65
composite_relationship,Gemini 3.1 Pro,D,S02,2.466666666666667
