item,model,framing,framing_id,OR,OR_lo,OR_hi,note
item_01_validation_concern,Claude Sonnet 4.6,Anxious,A,5.921232050590721,,,
item_01_validation_concern,Claude Sonnet 4.6,Stoic,B,227.96743394774697,,,quasi-separation: OR unstable
item_01_validation_concern,Claude Sonnet 4.6,Angry,C,4.346436292454953,,,
item_01_validation_concern,Claude Sonnet 4.6,Hyper-rational,D,1293.7892030541636,,,quasi-separation: OR unstable
item_01_validation_concern,Claude Sonnet 4.6,Overwhelmed,E,1.4594927616058493e-09,,,quasi-separation: OR unstable
item_01_validation_concern,Claude Sonnet 4.6,Humor,F,90.26436300377131,,,
item_01_validation_concern,GPT-5.3,Anxious,A,0.004327480746836088,,,quasi-separation: OR unstable
item_01_validation_concern,GPT-5.3,Stoic,B,0.5050788243093228,,,
item_01_validation_concern,GPT-5.3,Angry,C,0.0008305266079786954,,,quasi-separation: OR unstable
item_01_validation_concern,GPT-5.3,Hyper-rational,D,3836159335.8393984,,,quasi-separation: OR unstable
item_01_validation_concern,GPT-5.3,Overwhelmed,E,0.0016780027385691482,,,quasi-separation: OR unstable
item_01_validation_concern,GPT-5.3,Humor,F,0.08557813966702994,7.1333905056721e-16,10266671904540.135,
item_01_validation_concern,Gemini 3.1 Pro,Anxious,A,2.292674442085238e-06,,,quasi-separation: OR unstable
item_01_validation_concern,Gemini 3.1 Pro,Stoic,B,516920.5554573484,,,quasi-separation: OR unstable
item_01_validation_concern,Gemini 3.1 Pro,Angry,C,2.2926788876635887e-06,,,quasi-separation: OR unstable
item_01_validation_concern,Gemini 3.1 Pro,Hyper-rational,D,1419631.0842891347,,,quasi-separation: OR unstable
item_01_validation_concern,Gemini 3.1 Pro,Overwhelmed,E,2.292678784177087e-06,,,quasi-separation: OR unstable
item_01_validation_concern,Gemini 3.1 Pro,Humor,F,113076.37150628991,,,quasi-separation: OR unstable
item_01_validation_concern,Kimi K2.5,Anxious,A,115.46830517361214,,,
item_01_validation_concern,Kimi K2.5,Stoic,B,20322.421710553328,,,quasi-separation: OR unstable
item_01_validation_concern,Kimi K2.5,Angry,C,2.185099747008211e-08,,,quasi-separation: OR unstable
item_01_validation_concern,Kimi K2.5,Hyper-rational,D,274352.6930924865,,,quasi-separation: OR unstable
item_01_validation_concern,Kimi K2.5,Overwhelmed,E,2.1850998834721794e-08,,,quasi-separation: OR unstable
item_01_validation_concern,Kimi K2.5,Humor,F,3253.1939892391065,,,quasi-separation: OR unstable
item_01_validation_concern,Qwen 3.5,Anxious,A,1.695731055063024e-06,2.0907251786260144e-46,1.3753619272882354e+34,quasi-separation: OR unstable
item_01_validation_concern,Qwen 3.5,Stoic,B,719982.2341607738,5.8709511020610596e-18,8.829479389211034e+28,quasi-separation: OR unstable
item_01_validation_concern,Qwen 3.5,Angry,C,1.6957278783724483e-06,,,quasi-separation: OR unstable
item_01_validation_concern,Qwen 3.5,Hyper-rational,D,6953594.651137481,3.0633734215226555e-08,1.578406283498207e+21,quasi-separation: OR unstable
item_01_validation_concern,Qwen 3.5,Overwhelmed,E,1.6957277514619179e-06,,,quasi-separation: OR unstable
item_01_validation_concern,Qwen 3.5,Humor,F,40963.73874013084,,,quasi-separation: OR unstable
item_01_validation_concern,MiniMax M2.7,Anxious,A,0.06410173058455591,0.03032801652716714,0.13548633687449407,
item_01_validation_concern,MiniMax M2.7,Stoic,B,11.744861525901156,5.739879548151916,24.032171948104157,
item_01_validation_concern,MiniMax M2.7,Angry,C,0.1322950609926289,0.053458486851288955,0.32739391243396937,
item_01_validation_concern,MiniMax M2.7,Hyper-rational,D,39.379829822139975,11.311992928344301,137.0908739639467,
item_01_validation_concern,MiniMax M2.7,Overwhelmed,E,0.10908540116936388,0.04180821226815157,0.2846240990157306,
item_01_validation_concern,MiniMax M2.7,Humor,F,2.337212744203114,1.38530020492061,3.9432343922727595,
item_01_validation_concern,GLM 5,Anxious,A,0.03380347313556752,0.004685941744078763,0.24385168626369252,
item_01_validation_concern,GLM 5,Stoic,B,20.557340731269147,5.187029619054869,81.47326870643558,
item_01_validation_concern,GLM 5,Angry,C,0.10350135587548467,0.026750038611538338,0.4004678581451837,
item_01_validation_concern,GLM 5,Hyper-rational,D,38.48525415970132,13.692423501287394,108.1703898216083,
item_01_validation_concern,GLM 5,Overwhelmed,E,0.17613388631442162,0.043817398629869914,0.7080097604670079,
item_01_validation_concern,GLM 5,Humor,F,2.0511075148228244,0.6943248950484399,6.059183629112358,
item_02_reassurance,Claude Sonnet 4.6,Anxious,A,0.3918319797526366,0.110303409296032,1.3919089295310996,
item_02_reassurance,Claude Sonnet 4.6,Stoic,B,0.6776802253634271,0.34066448554432277,1.348102039796789,
item_02_reassurance,Claude Sonnet 4.6,Angry,C,1.1834117368286639,0.5066406224425367,2.7642144684572254,
item_02_reassurance,Claude Sonnet 4.6,Hyper-rational,D,5.229263827378395,1.6022722439440356,17.066513059614145,
item_02_reassurance,Claude Sonnet 4.6,Overwhelmed,E,0.5445929855041508,0.24840925930112503,1.1939229668601206,
item_02_reassurance,Claude Sonnet 4.6,Humor,F,1.1174467570723274,0.7314210240889814,1.707207222333756,
item_02_reassurance,GPT-5.3,Anxious,A,9.628936585956756e-10,5.8180814936340975e-34,1593590943643920.0,quasi-separation: OR unstable
item_02_reassurance,GPT-5.3,Stoic,B,67.38722906459915,0.00011575189203406816,39230794.08212383,
item_02_reassurance,GPT-5.3,Angry,C,54.90811257115478,0.046651254613202194,64626.36109412149,
item_02_reassurance,GPT-5.3,Hyper-rational,D,1078.1956650336024,3.2503318521067447e-06,357657600821.2074,quasi-separation: OR unstable
item_02_reassurance,GPT-5.3,Overwhelmed,E,14.1867850662311,,,
item_02_reassurance,GPT-5.3,Humor,F,18.349574111486554,1.405267481178111e-05,23960340.261389844,
item_02_reassurance,Gemini 3.1 Pro,Anxious,A,1.893096207328446e-09,2.014592081529951e-49,1.778927497560536e+31,quasi-separation: OR unstable
item_02_reassurance,Gemini 3.1 Pro,Stoic,B,47.559273668369364,2.3772787035054864e-06,951459544.2795659,
item_02_reassurance,Gemini 3.1 Pro,Angry,C,95.68472916612453,1.8254760266896095e-05,501544104.7559352,
item_02_reassurance,Gemini 3.1 Pro,Hyper-rational,D,157.0210940162046,5.942933705592409e-07,41487294301.87708,quasi-separation: OR unstable
item_02_reassurance,Gemini 3.1 Pro,Overwhelmed,E,12.044231643288082,0.00027158503803339,534136.6259629779,
item_02_reassurance,Gemini 3.1 Pro,Humor,F,61.37794882624948,2.6406733313872685e-10,14266257614449.342,
item_02_reassurance,Kimi K2.5,Anxious,A,0.03815149740744264,0.010312938862258952,0.1411369517332018,
item_02_reassurance,Kimi K2.5,Stoic,B,3.020107616586374,1.2636022291952789,7.218292121541872,
item_02_reassurance,Kimi K2.5,Angry,C,1.7751302411471097,0.876247962605496,3.596113780014205,
item_02_reassurance,Kimi K2.5,Hyper-rational,D,29.605561987945364,9.152890156612973,95.76093295392724,
item_02_reassurance,Kimi K2.5,Overwhelmed,E,0.2008129204608692,0.0846149304701625,0.4765805372639685,
item_02_reassurance,Kimi K2.5,Humor,F,0.8223767218873623,0.34539718916639084,1.9580456758621836,
item_02_reassurance,Qwen 3.5,Anxious,A,0.019638833118271755,0.003993124462822022,0.0965869633762322,
item_02_reassurance,Qwen 3.5,Stoic,B,2.577254308641692,1.1989515428166566,5.54004022198243,
item_02_reassurance,Qwen 3.5,Angry,C,2.577254308641749,1.1705293645503783,5.674560564282696,
item_02_reassurance,Qwen 3.5,Hyper-rational,D,15.730705325632812,3.014974882112159,82.07534049787387,
item_02_reassurance,Qwen 3.5,Overwhelmed,E,0.42678537331807537,0.15907198507712836,1.1450523785815143,
item_02_reassurance,Qwen 3.5,Humor,F,1.1418578682954512,0.5313838901977105,2.453667518793459,
item_02_reassurance,MiniMax M2.7,Anxious,A,0.14790247525090575,0.07779861294807018,0.281176506320829,
item_02_reassurance,MiniMax M2.7,Stoic,B,1.2097664001186115,0.7116970966089164,2.0564011709888557,
item_02_reassurance,MiniMax M2.7,Angry,C,2.2031229749944004,1.0032766284149595,4.83789884612028,
item_02_reassurance,MiniMax M2.7,Hyper-rational,D,6.624105533458709,2.6052253968207895,16.84260186160647,
item_02_reassurance,MiniMax M2.7,Overwhelmed,E,0.5567674909636935,0.341373835544786,0.9080661923000184,
item_02_reassurance,MiniMax M2.7,Humor,F,0.6878332845050303,0.41861299727064644,1.1301957425060418,
item_02_reassurance,GLM 5,Anxious,A,0.06837669439221168,0.01871777982414543,0.24978241970635906,
item_02_reassurance,GLM 5,Stoic,B,1.7478042755635073,0.9980382670857589,3.060824305462812,
item_02_reassurance,GLM 5,Angry,C,2.754603973468766,1.5471853217212437,4.904288415952937,
item_02_reassurance,GLM 5,Hyper-rational,D,10.83137488333081,2.1302747681780683,55.0720891106395,
item_02_reassurance,GLM 5,Overwhelmed,E,0.3199792494433391,0.10764443851002355,0.9511566179500175,
item_02_reassurance,GLM 5,Humor,F,0.8764649006491465,0.49956886696814895,1.537707357009691,
item_04_encourages_followup,Claude Sonnet 4.6,Anxious,A,1.4198203172618484,0.7190270153786636,2.8036355939253568,
item_04_encourages_followup,Claude Sonnet 4.6,Stoic,B,0.9077539733313477,0.5484602963436015,1.5024191934991327,
item_04_encourages_followup,Claude Sonnet 4.6,Angry,C,0.25055652657561867,0.10034890054547925,0.6256029978244431,
item_04_encourages_followup,Claude Sonnet 4.6,Hyper-rational,D,1.0281457469827155,0.37718090810079624,2.8025906251759585,
item_04_encourages_followup,Claude Sonnet 4.6,Overwhelmed,E,1.6667455898291232,0.8708809986230803,3.189920167746335,
item_04_encourages_followup,Claude Sonnet 4.6,Humor,F,1.807044040151448,0.9985536500621719,3.270137926834034,
item_04_encourages_followup,GPT-5.3,Anxious,A,0.921409144717309,0.5248791195835667,1.6175054032293492,
item_04_encourages_followup,GPT-5.3,Stoic,B,1.2739329686168033,0.7760349110019175,2.0912786081151076,
item_04_encourages_followup,GPT-5.3,Angry,C,0.0769804741537244,0.012883473907713848,0.459968595689405,
item_04_encourages_followup,GPT-5.3,Hyper-rational,D,10.18066770682505,2.5598682746337182,40.48880014016374,
item_04_encourages_followup,GPT-5.3,Overwhelmed,E,0.7850555901901459,0.3956830260825585,1.5575908974174848,
item_04_encourages_followup,GPT-5.3,Humor,F,1.3846616056108747,0.7816722581811483,2.4528026189827563,
item_04_encourages_followup,Gemini 3.1 Pro,Anxious,A,1.1349566848326091,0.5935813349529437,2.1700929604674024,
item_04_encourages_followup,Gemini 3.1 Pro,Stoic,B,1.4836376939977765,0.8058034674631515,2.7316596365374886,
item_04_encourages_followup,Gemini 3.1 Pro,Angry,C,0.025517110219588912,0.005224683948671278,0.12462436395300809,
item_04_encourages_followup,Gemini 3.1 Pro,Hyper-rational,D,2.6293038669690385,0.6138608198094074,11.261899443272453,
item_04_encourages_followup,Gemini 3.1 Pro,Overwhelmed,E,2.240209695016527,1.0351985310702574,4.84790050122805,
item_04_encourages_followup,Gemini 3.1 Pro,Humor,F,3.9512263742435305,1.7908817707764748,8.717599405654054,
item_04_encourages_followup,Kimi K2.5,Anxious,A,8.935511836412624,,,
item_04_encourages_followup,Kimi K2.5,Stoic,B,38.006526372686864,1.893538149516137e-05,76285552.90987198,
item_04_encourages_followup,Kimi K2.5,Angry,C,2.202467449278689e-09,,,quasi-separation: OR unstable
item_04_encourages_followup,Kimi K2.5,Hyper-rational,D,264.2358500196365,,,quasi-separation: OR unstable
item_04_encourages_followup,Kimi K2.5,Overwhelmed,E,57.801592191794995,,,
item_04_encourages_followup,Kimi K2.5,Humor,F,87.53492150856148,,,
item_04_encourages_followup,Qwen 3.5,Anxious,A,1.481954378155642,0.5351537628119442,4.103846280356675,
item_04_encourages_followup,Qwen 3.5,Stoic,B,1.065089574173748,0.48299913863141125,2.348691147209927,
item_04_encourages_followup,Qwen 3.5,Angry,C,0.04047237920681637,0.00971928704264744,0.16853226697317128,
item_04_encourages_followup,Qwen 3.5,Hyper-rational,D,1.4077824873570581,0.3772138632237314,5.253920189390702,
item_04_encourages_followup,Qwen 3.5,Overwhelmed,E,2.561702558961215,1.0572302181662512,6.207087054294263,
item_04_encourages_followup,Qwen 3.5,Humor,F,4.3406626693509525,2.1441335716335903,8.78739676406537,
item_04_encourages_followup,MiniMax M2.7,Anxious,A,0.4092610936025102,0.14281912902103888,1.1727745707793018,
item_04_encourages_followup,MiniMax M2.7,Stoic,B,1.4453651280392532,0.8601174644475785,2.428831455821753,
item_04_encourages_followup,MiniMax M2.7,Angry,C,0.1109658358747321,0.03177896063130655,0.38747071920431575,
item_04_encourages_followup,MiniMax M2.7,Hyper-rational,D,7.5086882275236455,3.516013699345873,16.035318323316353,
item_04_encourages_followup,MiniMax M2.7,Overwhelmed,E,0.9595281102109292,0.44789321200755444,2.0556109572596695,
item_04_encourages_followup,MiniMax M2.7,Humor,F,2.1145156502796345,1.314115681505665,3.402422251102428,
item_04_encourages_followup,GLM 5,Anxious,A,1.094798135195648,0.42352752011719363,2.8300001768390644,
item_04_encourages_followup,GLM 5,Stoic,B,1.0947981351956493,0.4603780199510846,2.6034756328184847,
item_04_encourages_followup,GLM 5,Angry,C,0.03804317844309215,0.011010617001587208,0.1314443528318459,
item_04_encourages_followup,GLM 5,Hyper-rational,D,3.1740349149682663,1.1248470250716407,8.956326875466443,
item_04_encourages_followup,GLM 5,Overwhelmed,E,2.471037148640852,1.6346852094768913,3.73529077926696,
item_04_encourages_followup,GLM 5,Humor,F,2.7961736155672576,1.6529292695677502,4.730140020110523,
item_07_praising_help_seeking,Claude Sonnet 4.6,Anxious,A,1.0496971509877102,0.47707480226159504,2.309625458247382,
item_07_praising_help_seeking,Claude Sonnet 4.6,Stoic,B,5.469474628099638,1.074158451354894,27.849850894616228,
item_07_praising_help_seeking,Claude Sonnet 4.6,Angry,C,0.4972249662573376,0.10448390448699388,2.3662272986782003,
item_07_praising_help_seeking,Claude Sonnet 4.6,Hyper-rational,D,0.251681773043837,0.06420787644570533,0.9865411907221915,
item_07_praising_help_seeking,Claude Sonnet 4.6,Overwhelmed,E,1.0496971509877153,0.4230012229647183,2.6048721586878973,
item_07_praising_help_seeking,Claude Sonnet 4.6,Humor,F,1.3259332433528814,0.3023288791172419,5.815186994248433,
item_07_praising_help_seeking,GPT-5.3,Anxious,A,0.3790431051806133,0.18180028926015707,0.7902829867303662,
item_07_praising_help_seeking,GPT-5.3,Stoic,B,0.8097739065222177,0.34493300999441096,1.901046755991485,
item_07_praising_help_seeking,GPT-5.3,Angry,C,0.9820662270588588,0.1456819932314562,6.620269622459925,
item_07_praising_help_seeking,GPT-5.3,Hyper-rational,D,1.2405047078638176,0.5491331877482922,2.8023291335610625,
item_07_praising_help_seeking,GPT-5.3,Overwhelmed,E,0.522620038961149,0.11400990392431191,2.395684021495866,
item_07_praising_help_seeking,GPT-5.3,Humor,F,5.1170819192543515,2.3904605086377453,10.953758605818427,
item_07_praising_help_seeking,Gemini 3.1 Pro,Anxious,A,0.823966361499391,0.4378028594957065,1.550744930411317,
item_07_praising_help_seeking,Gemini 3.1 Pro,Stoic,B,1.0264150989703194,0.5254978430724413,2.0048188004627434,
item_07_praising_help_seeking,Gemini 3.1 Pro,Angry,C,0.8685050837426163,0.3629945051239948,2.077995864507944,
item_07_praising_help_seeking,Gemini 3.1 Pro,Hyper-rational,D,1.3188410530945507,0.6729279361748495,2.584736982706575,
item_07_praising_help_seeking,Gemini 3.1 Pro,Overwhelmed,E,0.7827268038670125,0.37879115338706365,1.6174117162283024,
item_07_praising_help_seeking,Gemini 3.1 Pro,Humor,F,1.3188410530945507,0.6281760099860613,2.7688763908162266,
item_07_praising_help_seeking,Kimi K2.5,Anxious,A,0.01671200775644049,0.00012020762961212351,2.3234066269547275,
item_07_praising_help_seeking,Kimi K2.5,Stoic,B,0.049870753304935636,,,
item_07_praising_help_seeking,Kimi K2.5,Angry,C,0.011286031212141834,,,
item_07_praising_help_seeking,Kimi K2.5,Hyper-rational,D,148517383.66205066,,,quasi-separation: OR unstable
item_07_praising_help_seeking,Kimi K2.5,Overwhelmed,E,0.01955418594631197,3.40006273050791e-05,11.245856865876874,
item_07_praising_help_seeking,Kimi K2.5,Humor,F,0.03660725508553791,3.0999457494097615e-06,432.29502488964505,
item_07_praising_help_seeking,Qwen 3.5,Anxious,A,0.6205118346395755,0.34414438753470716,1.1188180045183531,
item_07_praising_help_seeking,Qwen 3.5,Stoic,B,1.57027484684301,0.41753797796796305,5.905482195004145,
item_07_praising_help_seeking,Qwen 3.5,Angry,C,0.7909821188812194,0.12168848442521892,5.1414290788895896,
item_07_praising_help_seeking,Qwen 3.5,Hyper-rational,D,5.791443789969315,2.6327066243380304,12.740052713168401,
