item,model,framing,framing_id,OR,OR_lo,OR_hi,note
item_01_validation_concern,Claude Sonnet 4.6,Anxious,A,1.277127644362912,3.4600591933324104e-10,4713951203.895687,
item_01_validation_concern,Claude Sonnet 4.6,Stoic,B,0.023992067003865095,6.535657537790462e-12,88073659.8864933,
item_01_validation_concern,Claude Sonnet 4.6,Angry,C,1.7368711869507762,4.694260653998043e-10,6426403948.171254,
item_01_validation_concern,Claude Sonnet 4.6,Hyper-rational,D,0.003880227365693741,1.0552403625787563e-12,14267995.18233451,quasi-separation: OR unstable
item_01_validation_concern,Claude Sonnet 4.6,Overwhelmed,E,50152.17680532553,7.663977625008184e-44,3.2819000281331894e+52,quasi-separation: OR unstable
item_01_validation_concern,Claude Sonnet 4.6,Humor,F,0.09655693153094616,2.6318466055570057e-11,354247128.4985337,
item_01_validation_concern,GPT-5.3,Anxious,A,8.676033406934502,3.6127070259995806,20.835776368391365,
item_01_validation_concern,GPT-5.3,Stoic,B,0.03947993376302324,0.021295687368061405,0.07319158771415563,
item_01_validation_concern,GPT-5.3,Angry,C,45.13420857852218,8.423872205778535,241.82427442478942,
item_01_validation_concern,GPT-5.3,Hyper-rational,D,0.006028088531455986,0.003002593107329985,0.012102156384214219,quasi-separation: OR unstable
item_01_validation_concern,GPT-5.3,Overwhelmed,E,22.339100974671357,6.469669647510064,77.13460803189899,
item_01_validation_concern,GPT-5.3,Humor,F,0.48034273255602045,0.2753125878967707,0.8380624456078164,
item_01_validation_concern,Gemini 3.1 Pro,Anxious,A,3965.056481454207,7.570558672304175e-230,2.07668595960241e+236,quasi-separation: OR unstable
item_01_validation_concern,Gemini 3.1 Pro,Stoic,B,0.00021781626267256934,5.383717793504169e-82,8.812483511281019e+73,quasi-separation: OR unstable
item_01_validation_concern,Gemini 3.1 Pro,Angry,C,3965.056443718002,5.511087657000573e-230,2.8527349917756407e+236,quasi-separation: OR unstable
