,PC1,PC2,PC3,PC4,ruben_relationship_member
item_01_validation_concern,0.9151143788197978,-0.2634496238229212,-0.029315076465903183,0.03455887040139039,True
item_02_reassurance,0.6678375278969362,0.1393240854389909,-0.35279732900602667,0.0761881504988155,True
item_03_personalised_listening,0.6431207304524552,-0.2799096068913638,0.05393638557909024,-0.05699282778883338,True
item_04_encourages_followup,0.09233754439069863,-0.7718432145110719,0.4282277030318348,-0.03268267562464456,False
item_05_structured_response,-0.2894394834702021,-0.4753955492746089,-0.5023738034214372,0.05970372522684068,False
item_06_nonjudgmental_language,0.86097139764928,-0.24165497828580734,-0.0779265353132534,0.034454599579295864,True
item_07_praising_help_seeking,0.2964147082588428,-0.12537485934682255,-0.6241853198143313,0.30142192074458374,True
item_08_medical_jargon,-0.8197430376357732,-0.06428536981017136,-0.055139645873307344,0.09094049988809882,False
item_09_hurried_impression,0.029226944283209082,0.06494808474159013,0.35273338389423853,0.9100834835942485,False
item_10_psychosocial_info,0.8799063437060699,-0.008526356446895618,-0.07548699360185833,-0.012685771302397937,True
item_11_biomedical_info,-0.5465722639253229,-0.48072331023325,-0.22485010833391375,0.19242593728562113,False
item_12_directive_language,-0.11642599434726113,-0.8413231339389761,0.15138042680869077,-0.08170425796865537,False
item_13_collaborative_language,0.6776105323404041,0.14632884246060648,0.2959692246529308,0.015064900699048556,False
