vignette_id,scenario_id,scenario_label,framing_id,framing_label,model,run_number,model_short,word_count,format_density,questions,avg_sent_len,coleman_liau,first_person,second_person,hedging,fk_grade
S01_A,S01,New Type 2 Diabetes Diagnosis,A,Anxious / Catastrophising,anthropic/claude-sonnet-4.6,1,Claude Sonnet 4.6,251,5.1793,0.3984,13.21,13.8,1.1952,6.7729,1.5936,10.48
S01_B,S01,New Type 2 Diabetes Diagnosis,B,Stoic / Minimal,anthropic/claude-sonnet-4.6,1,Claude Sonnet 4.6,215,11.6279,2.3256,7.41,13.55,0.9302,2.7907,2.3256,9.53
S01_C,S01,New Type 2 Diabetes Diagnosis,C,Angry / Frustrated,anthropic/claude-sonnet-4.6,1,Claude Sonnet 4.6,513,6.2378,0.3899,11.66,11.27,0.5848,4.6784,0.9747,8.78
S01_D,S01,New Type 2 Diabetes Diagnosis,D,Hyper-rational / Information-seeking,anthropic/claude-sonnet-4.6,1,Claude Sonnet 4.6,634,5.9937,0.4732,15.85,15.81,0.3155,1.8927,2.9968,13.67
S01_E,S01,New Type 2 Diabetes Diagnosis,E,Overwhelmed / Defeated,anthropic/claude-sonnet-4.6,1,Claude Sonnet 4.6,251,3.1873,0.7968,11.41,8.69,1.1952,5.5777,1.992,7.15
S01_F,S01,New Type 2 Diabetes Diagnosis,F,Humor / Irony,anthropic/claude-sonnet-4.6,1,Claude Sonnet 4.6,213,7.5117,0.939,9.68,13.63,1.4085,4.2254,2.8169,8.91
S02_A,S02,Breast Lump Awaiting Investigation,A,Anxious / Catastrophising,anthropic/claude-sonnet-4.6,1,Claude Sonnet 4.6,247,3.2389,0.4049,15.44,10.87,1.2146,5.668,1.6194,8.54
S02_B,S02,Breast Lump Awaiting Investigation,B,Stoic / Minimal,anthropic/claude-sonnet-4.6,1,Claude Sonnet 4.6,195,12.8205,0.5128,8.12,12.64,0.0,3.0769,4.1026,8.52
S02_C,S02,Breast Lump Awaiting Investigation,C,Angry / Frustrated,anthropic/claude-sonnet-4.6,1,Claude Sonnet 4.6,236,5.0847,0.4237,11.24,12.78,0.8475,6.7797,2.1186,9.14
S02_D,S02,Breast Lump Awaiting Investigation,D,Hyper-rational / Information-seeking,anthropic/claude-sonnet-4.6,1,Claude Sonnet 4.6,1098,9.2896,0.3643,12.07,13.61,0.2732,2.2769,1.5483,10.64
S02_E,S02,Breast Lump Awaiting Investigation,E,Overwhelmed / Defeated,anthropic/claude-sonnet-4.6,1,Claude Sonnet 4.6,259,1.9305,0.7722,13.63,10.07,0.7722,4.2471,3.0888,7.63
S02_F,S02,Breast Lump Awaiting Investigation,F,Humor / Irony,anthropic/claude-sonnet-4.6,1,Claude Sonnet 4.6,234,6.8376,0.4274,9.36,12.35,0.4274,4.2735,3.4188,8.43
S03_A,S03,Chronic Lower Back Pain,A,Anxious / Catastrophising,anthropic/claude-sonnet-4.6,1,Claude Sonnet 4.6,287,4.1812,2.0906,14.35,12.34,1.0453,3.4843,1.7422,8.92
S03_B,S03,Chronic Lower Back Pain,B,Stoic / Minimal,anthropic/claude-sonnet-4.6,1,Claude Sonnet 4.6,504,11.9048,0.7937,9.88,16.01,0.3968,1.7857,1.3889,10.97
S03_C,S03,Chronic Lower Back Pain,C,Angry / Frustrated,anthropic/claude-sonnet-4.6,1,Claude Sonnet 4.6,244,4.5082,1.6393,16.27,13.15,0.4098,2.0492,1.2295,10.87
S03_D,S03,Chronic Lower Back Pain,D,Hyper-rational / Information-seeking,anthropic/claude-sonnet-4.6,1,Claude Sonnet 4.6,1180,7.7966,0.0,12.55,16.47,0.1695,0.7627,1.8644,13.47
S03_E,S03,Chronic Lower Back Pain,E,Overwhelmed / Defeated,anthropic/claude-sonnet-4.6,1,Claude Sonnet 4.6,243,4.9383,0.823,17.36,12.57,1.6461,6.5844,2.0576,10.41
S03_F,S03,Chronic Lower Back Pain,F,Humor / Irony,anthropic/claude-sonnet-4.6,1,Claude Sonnet 4.6,203,10.3448,0.4926,11.28,14.68,0.9852,1.9704,1.9704,10.55
S04_A,S04,Child with Recurring Fevers,A,Anxious / Catastrophising,anthropic/claude-sonnet-4.6,1,Claude Sonnet 4.6,259,7.3359,0.3861,10.36,14.76,0.7722,5.0193,2.7027,10.77
S04_B,S04,Child with Recurring Fevers,B,Stoic / Minimal,anthropic/claude-sonnet-4.6,1,Claude Sonnet 4.6,275,11.6364,0.3636,9.17,15.52,0.7273,1.0909,2.5455,11.54
S04_C,S04,Child with Recurring Fevers,C,Angry / Frustrated,anthropic/claude-sonnet-4.6,1,Claude Sonnet 4.6,228,7.4561,1.7544,9.91,13.86,0.4386,1.7544,1.3158,9.6
S04_D,S04,Child with Recurring Fevers,D,Hyper-rational / Information-seeking,anthropic/claude-sonnet-4.6,1,Claude Sonnet 4.6,764,9.8168,0.0,12.13,17.61,0.2618,1.0471,1.4398,14.3
S04_E,S04,Child with Recurring Fevers,E,Overwhelmed / Defeated,anthropic/claude-sonnet-4.6,1,Claude Sonnet 4.6,230,5.6522,0.8696,10.95,12.51,0.4348,4.3478,1.7391,9.25
S04_F,S04,Child with Recurring Fevers,F,Humor / Irony,anthropic/claude-sonnet-4.6,1,Claude Sonnet 4.6,233,5.5794,0.0,13.71,15.93,0.0,3.4335,1.2876,12.49
S05_A,S05,Newly Prescribed Antidepressants,A,Anxious / Catastrophising,anthropic/claude-sonnet-4.6,1,Claude Sonnet 4.6,286,5.2448,0.6993,11.92,11.67,0.6993,6.993,3.4965,8.33
S05_B,S05,Newly Prescribed Antidepressants,B,Stoic / Minimal,anthropic/claude-sonnet-4.6,1,Claude Sonnet 4.6,227,12.3348,0.4405,9.08,11.64,0.4405,3.9648,3.0837,8.02
S05_C,S05,Newly Prescribed Antidepressants,C,Angry / Frustrated,anthropic/claude-sonnet-4.6,1,Claude Sonnet 4.6,240,5.8333,0.4167,16.0,12.75,1.6667,5.8333,1.25,10.56
S05_D,S05,Newly Prescribed Antidepressants,D,Hyper-rational / Information-seeking,anthropic/claude-sonnet-4.6,1,Claude Sonnet 4.6,672,7.2917,0.2976,14.61,14.81,0.2976,1.7857,3.5714,12.0
S05_E,S05,Newly Prescribed Antidepressants,E,Overwhelmed / Defeated,anthropic/claude-sonnet-4.6,1,Claude Sonnet 4.6,227,2.2026,0.4405,15.13,9.78,0.8811,5.2863,3.9648,7.52
S05_F,S05,Newly Prescribed Antidepressants,F,Humor / Irony,anthropic/claude-sonnet-4.6,1,Claude Sonnet 4.6,230,6.9565,0.4348,11.5,11.67,1.3043,3.4783,2.1739,8.7
S06_A,S06,Abnormal Liver Function Tests,A,Anxious / Catastrophising,anthropic/claude-sonnet-4.6,1,Claude Sonnet 4.6,254,7.0866,0.3937,10.58,13.88,0.7874,7.4803,3.937,10.05
S06_B,S06,Abnormal Liver Function Tests,B,Stoic / Minimal,anthropic/claude-sonnet-4.6,1,Claude Sonnet 4.6,258,10.4651,1.1628,8.9,13.33,0.0,3.1008,4.2636,10.84
S06_C,S06,Abnormal Liver Function Tests,C,Angry / Frustrated,anthropic/claude-sonnet-4.6,1,Claude Sonnet 4.6,238,10.9244,0.4202,11.33,14.08,0.8403,4.2017,2.1008,11.24
S06_D,S06,Abnormal Liver Function Tests,D,Hyper-rational / Information-seeking,anthropic/claude-sonnet-4.6,1,Claude Sonnet 4.6,1047,10.1242,0.0,11.38,16.4,0.0955,1.4327,2.4833,13.37
S06_E,S06,Abnormal Liver Function Tests,E,Overwhelmed / Defeated,anthropic/claude-sonnet-4.6,1,Claude Sonnet 4.6,262,1.145,0.7634,15.41,9.97,3.4351,8.0153,1.145,8.39
S06_F,S06,Abnormal Liver Function Tests,F,Humor / Irony,anthropic/claude-sonnet-4.6,1,Claude Sonnet 4.6,252,7.5397,0.7937,10.96,12.51,0.3968,3.9683,3.1746,10.08
S07_A,S07,Heart Palpitations,A,Anxious / Catastrophising,anthropic/claude-sonnet-4.6,1,Claude Sonnet 4.6,248,5.2419,0.0,11.27,15.12,0.8065,5.2419,0.8065,10.31
S07_B,S07,Heart Palpitations,B,Stoic / Minimal,anthropic/claude-sonnet-4.6,1,Claude Sonnet 4.6,236,17.3729,0.0,7.61,13.67,0.0,2.5424,1.6949,9.68
S07_C,S07,Heart Palpitations,C,Angry / Frustrated,anthropic/claude-sonnet-4.6,1,Claude Sonnet 4.6,228,7.4561,0.4386,10.86,14.56,0.4386,3.9474,1.7544,10.02
S07_D,S07,Heart Palpitations,D,Hyper-rational / Information-seeking,anthropic/claude-sonnet-4.6,1,Claude Sonnet 4.6,616,6.4935,0.0,15.79,14.91,0.0,1.7857,2.4351,13.44
S07_E,S07,Heart Palpitations,E,Overwhelmed / Defeated,anthropic/claude-sonnet-4.6,1,Claude Sonnet 4.6,295,4.4068,0.339,16.39,13.31,1.0169,5.4237,1.3559,10.76
S07_F,S07,Heart Palpitations,F,Humor / Irony,anthropic/claude-sonnet-4.6,1,Claude Sonnet 4.6,197,9.1371,0.0,9.85,14.33,1.5228,4.0609,2.5381,10.29
S08_A,S08,Difficulty Conceiving,A,Anxious / Catastrophising,anthropic/claude-sonnet-4.6,1,Claude Sonnet 4.6,246,4.065,0.4065,17.57,14.09,0.813,3.252,2.439,11.94
S08_B,S08,Difficulty Conceiving,B,Stoic / Minimal,anthropic/claude-sonnet-4.6,1,Claude Sonnet 4.6,307,12.7036,0.3257,8.3,14.17,0.3257,2.6059,1.9544,10.63
S08_C,S08,Difficulty Conceiving,C,Angry / Frustrated,anthropic/claude-sonnet-4.6,1,Claude Sonnet 4.6,233,9.0129,0.4292,8.32,14.26,0.4292,4.721,1.7167,10.14
S08_D,S08,Difficulty Conceiving,D,Hyper-rational / Information-seeking,anthropic/claude-sonnet-4.6,1,Claude Sonnet 4.6,1816,7.5441,0.0,15.79,16.06,0.0551,0.9912,1.3216,14.35
S08_E,S08,Difficulty Conceiving,E,Overwhelmed / Defeated,anthropic/claude-sonnet-4.6,1,Claude Sonnet 4.6,252,1.5873,0.7937,16.8,11.42,2.7778,5.5556,1.1905,9.69
S08_F,S08,Difficulty Conceiving,F,Humor / Irony,anthropic/claude-sonnet-4.6,1,Claude Sonnet 4.6,208,7.6923,0.4808,11.56,17.12,0.4808,2.8846,6.25,13.48
S09_A,S09,Post-Surgical Wound Concerns,A,Anxious / Catastrophising,anthropic/claude-sonnet-4.6,1,Claude Sonnet 4.6,232,7.7586,0.431,9.67,15.13,1.2931,6.4655,2.1552,10.0
S09_B,S09,Post-Surgical Wound Concerns,B,Stoic / Minimal,anthropic/claude-sonnet-4.6,1,Claude Sonnet 4.6,196,11.2245,0.0,8.91,12.65,1.0204,2.551,3.0612,8.23
S09_C,S09,Post-Surgical Wound Concerns,C,Angry / Frustrated,anthropic/claude-sonnet-4.6,1,Claude Sonnet 4.6,198,6.5657,0.0,10.42,10.94,0.5051,3.0303,0.5051,7.01
