vignette_id,scenario_id,scenario_label,framing_id,framing_label,model,run_number,model_short,pos_emotion,neg_emotion,n_sentences
S01_A,S01,New Type 2 Diabetes Diagnosis,A,Anxious / Catastrophising,anthropic/claude-sonnet-4.6,1,Claude Sonnet 4.6,0.327207,0.20979,19
S01_B,S01,New Type 2 Diabetes Diagnosis,B,Stoic / Minimal,anthropic/claude-sonnet-4.6,1,Claude Sonnet 4.6,0.259226,0.034252,29
S01_C,S01,New Type 2 Diabetes Diagnosis,C,Angry / Frustrated,anthropic/claude-sonnet-4.6,1,Claude Sonnet 4.6,0.306067,0.095107,44
S01_D,S01,New Type 2 Diabetes Diagnosis,D,Hyper-rational / Information-seeking,anthropic/claude-sonnet-4.6,1,Claude Sonnet 4.6,0.218967,0.044317,40
S01_E,S01,New Type 2 Diabetes Diagnosis,E,Overwhelmed / Defeated,anthropic/claude-sonnet-4.6,1,Claude Sonnet 4.6,0.2661,0.060695,22
S01_F,S01,New Type 2 Diabetes Diagnosis,F,Humor / Irony,anthropic/claude-sonnet-4.6,1,Claude Sonnet 4.6,0.380459,0.095948,22
S02_A,S02,Breast Lump Awaiting Investigation,A,Anxious / Catastrophising,anthropic/claude-sonnet-4.6,1,Claude Sonnet 4.6,0.210987,0.158226,16
S02_B,S02,Breast Lump Awaiting Investigation,B,Stoic / Minimal,anthropic/claude-sonnet-4.6,1,Claude Sonnet 4.6,0.205047,0.049743,24
S02_C,S02,Breast Lump Awaiting Investigation,C,Angry / Frustrated,anthropic/claude-sonnet-4.6,1,Claude Sonnet 4.6,0.330276,0.176363,21
S02_D,S02,Breast Lump Awaiting Investigation,D,Hyper-rational / Information-seeking,anthropic/claude-sonnet-4.6,1,Claude Sonnet 4.6,0.112014,0.060814,91
S02_E,S02,Breast Lump Awaiting Investigation,E,Overwhelmed / Defeated,anthropic/claude-sonnet-4.6,1,Claude Sonnet 4.6,0.159593,0.157319,19
S02_F,S02,Breast Lump Awaiting Investigation,F,Humor / Irony,anthropic/claude-sonnet-4.6,1,Claude Sonnet 4.6,0.22989,0.097213,25
S03_A,S03,Chronic Lower Back Pain,A,Anxious / Catastrophising,anthropic/claude-sonnet-4.6,1,Claude Sonnet 4.6,0.154131,0.214407,20
S03_B,S03,Chronic Lower Back Pain,B,Stoic / Minimal,anthropic/claude-sonnet-4.6,1,Claude Sonnet 4.6,0.132612,0.074415,51
S03_C,S03,Chronic Lower Back Pain,C,Angry / Frustrated,anthropic/claude-sonnet-4.6,1,Claude Sonnet 4.6,0.14838,0.200476,15
S03_D,S03,Chronic Lower Back Pain,D,Hyper-rational / Information-seeking,anthropic/claude-sonnet-4.6,1,Claude Sonnet 4.6,0.116555,0.04628,94
S03_E,S03,Chronic Lower Back Pain,E,Overwhelmed / Defeated,anthropic/claude-sonnet-4.6,1,Claude Sonnet 4.6,0.190957,0.222341,14
S03_F,S03,Chronic Lower Back Pain,F,Humor / Irony,anthropic/claude-sonnet-4.6,1,Claude Sonnet 4.6,0.30635,0.098968,18
S04_A,S04,Child with Recurring Fevers,A,Anxious / Catastrophising,anthropic/claude-sonnet-4.6,1,Claude Sonnet 4.6,0.338378,0.079253,25
S04_B,S04,Child with Recurring Fevers,B,Stoic / Minimal,anthropic/claude-sonnet-4.6,1,Claude Sonnet 4.6,0.153083,0.054917,30
S04_C,S04,Child with Recurring Fevers,C,Angry / Frustrated,anthropic/claude-sonnet-4.6,1,Claude Sonnet 4.6,0.151829,0.077989,23
S04_D,S04,Child with Recurring Fevers,D,Hyper-rational / Information-seeking,anthropic/claude-sonnet-4.6,1,Claude Sonnet 4.6,0.130996,0.0713,63
S04_E,S04,Child with Recurring Fevers,E,Overwhelmed / Defeated,anthropic/claude-sonnet-4.6,1,Claude Sonnet 4.6,0.367284,0.107875,21
S04_F,S04,Child with Recurring Fevers,F,Humor / Irony,anthropic/claude-sonnet-4.6,1,Claude Sonnet 4.6,0.300666,0.150405,17
S05_A,S05,Newly Prescribed Antidepressants,A,Anxious / Catastrophising,anthropic/claude-sonnet-4.6,1,Claude Sonnet 4.6,0.334283,0.130135,24
S05_B,S05,Newly Prescribed Antidepressants,B,Stoic / Minimal,anthropic/claude-sonnet-4.6,1,Claude Sonnet 4.6,0.286562,0.213119,25
S05_C,S05,Newly Prescribed Antidepressants,C,Angry / Frustrated,anthropic/claude-sonnet-4.6,1,Claude Sonnet 4.6,0.190341,0.21736,15
S05_D,S05,Newly Prescribed Antidepressants,D,Hyper-rational / Information-seeking,anthropic/claude-sonnet-4.6,1,Claude Sonnet 4.6,0.172751,0.074993,46
S05_E,S05,Newly Prescribed Antidepressants,E,Overwhelmed / Defeated,anthropic/claude-sonnet-4.6,1,Claude Sonnet 4.6,0.350957,0.10032,15
S05_F,S05,Newly Prescribed Antidepressants,F,Humor / Irony,anthropic/claude-sonnet-4.6,1,Claude Sonnet 4.6,0.398008,0.1784,20
